,numberOfFinalProperties,numberOfProperties,status,dateApproved,dateClosed,dateInitiallyApproved
5455,0,0,Closed,2007-04-24T00:00:00.000Z,2007-04-24T00:00:00.000Z,2007-04-24T00:00:00.000Z
5457,0,0,Closed,2006-04-21T00:00:00.000Z,2008-10-23T00:00:00.000Z,2006-04-21T00:00:00.000Z
5458,0,0,Closed,2007-06-27T00:00:00.000Z,2007-08-13T00:00:00.000Z,2005-10-29T00:00:00.000Z
5459,2,2,Closed,2008-04-17T00:00:00.000Z,2008-05-06T00:00:00.000Z,2005-08-08T00:00:00.000Z
5460,0,0,Closed,2015-06-17T00:00:00.000Z,2015-06-17T00:00:00.000Z,2012-05-02T00:00:00.000Z
5462,1,1,Closed,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,2011-05-06T00:00:00.000Z
5463,0,0,Closed,2012-02-13T00:00:00.000Z,2015-03-26T00:00:00.000Z,2012-02-13T00:00:00.000Z
5464,0,0,Closed,2011-07-07T00:00:00.000Z,2012-02-01T00:00:00.000Z,2010-12-10T00:00:00.000Z
5466,1,1,Closed,2020-06-09T00:00:00.000Z,2020-06-11T00:00:00.000Z,2011-08-11T00:00:00.000Z
5467,0,0,Closed,2013-06-17T00:00:00.000Z,2016-08-11T00:00:00.000Z,2013-06-13T00:00:00.000Z
5468,5,6,Closed,2019-10-17T00:00:00.000Z,2019-10-21T00:00:00.000Z,2012-03-20T00:00:00.000Z
5469,0,0,Closed,2012-02-24T00:00:00.000Z,2014-02-20T00:00:00.000Z,2012-02-24T00:00:00.000Z
5471,1,1,Closed,2010-10-20T00:00:00.000Z,2015-09-17T00:00:00.000Z,2010-10-20T00:00:00.000Z
5472,0,0,Closed,2011-07-21T00:00:00.000Z,2011-07-21T00:00:00.000Z,2010-09-08T00:00:00.000Z
5474,0,0,Closed,2013-07-08T00:00:00.000Z,2013-07-09T00:00:00.000Z,2011-05-18T00:00:00.000Z
5475,0,0,Closed,2015-04-13T00:00:00.000Z,2015-04-13T00:00:00.000Z,2012-08-03T00:00:00.000Z
5476,0,0,Closed,2014-08-21T00:00:00.000Z,2014-08-21T00:00:00.000Z,2011-10-06T00:00:00.000Z
5477,1,1,Closed,2011-05-24T00:00:00.000Z,2015-09-29T00:00:00.000Z,2011-05-24T00:00:00.000Z
5479,0,0,Closed,2021-02-09T00:00:00.000Z,2021-02-09T00:00:00.000Z,2011-11-03T00:00:00.000Z
5480,0,0,Closed,2012-02-21T00:00:00.000Z,2015-08-05T00:00:00.000Z,2012-02-21T00:00:00.000Z
5481,0,0,Closed,2011-12-14T00:00:00.000Z,2015-03-09T00:00:00.000Z,2011-12-14T00:00:00.000Z
5482,1,1,Closed,2014-05-05T00:00:00.000Z,2014-05-06T00:00:00.000Z,2011-10-24T00:00:00.000Z
5485,4,8,Closed,2017-09-28T00:00:00.000Z,2017-09-28T00:00:00.000Z,2012-06-19T00:00:00.000Z
5486,0,0,Closed,2012-02-01T00:00:00.000Z,2015-10-07T00:00:00.000Z,2011-12-13T00:00:00.000Z
5488,0,0,Closed,2012-01-20T00:00:00.000Z,2014-08-05T00:00:00.000Z,2012-01-20T00:00:00.000Z
5489,3,4,Closed,2015-07-30T00:00:00.000Z,2015-06-30T00:00:00.000Z,2011-11-29T00:00:00.000Z
5492,0,0,Closed,2008-05-16T00:00:00.000Z,2012-12-26T00:00:00.000Z,2008-05-16T00:00:00.000Z
5493,1,1,Closed,2016-04-22T00:00:00.000Z,2015-04-22T00:00:00.000Z,2008-03-19T00:00:00.000Z
5495,1,1,Closed,2015-02-13T00:00:00.000Z,2015-02-13T00:00:00.000Z,2007-01-16T00:00:00.000Z
5496,0,0,Closed,2015-01-20T00:00:00.000Z,2016-01-21T00:00:00.000Z,2006-10-19T00:00:00.000Z
5497,0,0,Closed,2008-03-05T00:00:00.000Z,2008-03-05T00:00:00.000Z,2004-06-15T00:00:00.000Z
5498,1,1,Closed,2014-10-30T00:00:00.000Z,2010-12-30T00:00:00.000Z,2007-01-30T00:00:00.000Z
5499,0,0,Closed,2007-10-03T00:00:00.000Z,2009-10-15T00:00:00.000Z,2007-10-03T00:00:00.000Z
5501,0,0,Closed,2015-06-03T00:00:00.000Z,2015-06-03T00:00:00.000Z,2009-08-17T00:00:00.000Z
5502,0,0,Closed,2012-02-22T00:00:00.000Z,2012-02-23T00:00:00.000Z,2009-09-08T00:00:00.000Z
5505,1,1,Closed,2010-10-05T00:00:00.000Z,2011-08-10T00:00:00.000Z,2008-03-05T00:00:00.000Z
5508,0,0,Closed,2016-01-07T00:00:00.000Z,2016-03-24T00:00:00.000Z,2012-10-01T00:00:00.000Z
5509,1,1,Closed,2014-04-01T00:00:00.000Z,2014-04-01T00:00:00.000Z,2012-06-19T00:00:00.000Z
5510,1,1,Closed,2022-06-09T00:00:00.000Z,2022-06-14T00:00:00.000Z,2012-08-01T00:00:00.000Z
5511,0,0,Closed,2016-06-16T00:00:00.000Z,2016-06-16T00:00:00.000Z,2013-08-02T00:00:00.000Z
5512,0,0,Closed,2014-10-03T00:00:00.000Z,2014-10-03T00:00:00.000Z,2013-01-24T00:00:00.000Z
5513,24,24,Closed,2020-03-16T00:00:00.000Z,2020-06-09T00:00:00.000Z,2012-07-19T00:00:00.000Z
5515,1,1,Closed,2022-06-22T00:00:00.000Z,2022-06-29T00:00:00.000Z,2012-10-12T00:00:00.000Z
5516,1,1,Closed,2021-11-01T00:00:00.000Z,2021-11-16T00:00:00.000Z,2012-09-10T00:00:00.000Z
5517,7,7,Closed,2023-08-17T00:00:00.000Z,2017-03-02T00:00:00.000Z,2013-02-19T00:00:00.000Z
5518,1,1,Closed,2018-02-05T00:00:00.000Z,2018-02-08T00:00:00.000Z,2012-07-31T00:00:00.000Z
5520,0,0,Closed,2012-02-17T00:00:00.000Z,2014-10-24T00:00:00.000Z,2012-02-17T00:00:00.000Z
5522,0,0,Closed,2015-02-18T00:00:00.000Z,2015-02-18T00:00:00.000Z,2011-03-22T00:00:00.000Z
5523,354,354,Closed,2020-03-23T00:00:00.000Z,2019-04-25T00:00:00.000Z,2011-11-30T00:00:00.000Z
5524,32,32,Closed,2015-04-09T00:00:00.000Z,2015-04-09T00:00:00.000Z,2012-10-16T00:00:00.000Z
5525,1,1,Closed,2021-11-16T00:00:00.000Z,2021-12-08T00:00:00.000Z,2012-08-21T00:00:00.000Z
5526,0,0,Closed,2015-09-09T00:00:00.000Z,2015-09-09T00:00:00.000Z,2012-03-26T00:00:00.000Z
5528,0,0,Closed,2016-03-24T00:00:00.000Z,2017-04-24T00:00:00.000Z,2014-02-05T00:00:00.000Z
5548,0,0,Closed,2015-06-16T00:00:00.000Z,2017-01-26T00:00:00.000Z,2007-11-20T00:00:00.000Z
5549,1,1,Closed,2010-06-28T00:00:00.000Z,2010-06-28T00:00:00.000Z,2007-01-16T00:00:00.000Z
5550,0,0,Closed,2008-12-10T00:00:00.000Z,2011-12-21T00:00:00.000Z,2007-04-19T00:00:00.000Z
5551,4,4,Closed,2021-09-28T00:00:00.000Z,2018-09-12T00:00:00.000Z,2015-08-19T00:00:00.000Z
5552,0,0,Closed,2019-06-07T00:00:00.000Z,2019-06-07T00:00:00.000Z,2015-06-22T00:00:00.000Z
5553,0,0,Closed,2019-03-11T00:00:00.000Z,2019-03-11T00:00:00.000Z,2015-06-01T00:00:00.000Z
5554,1,1,Closed,2015-05-20T00:00:00.000Z,2023-07-27T00:00:00.000Z,2013-07-16T00:00:00.000Z
5555,0,0,Closed,2013-02-12T00:00:00.000Z,2019-09-12T00:00:00.000Z,2013-02-12T00:00:00.000Z
5556,0,0,Closed,2019-02-11T00:00:00.000Z,2019-02-11T00:00:00.000Z,2013-10-28T00:00:00.000Z
5557,0,0,Closed,2015-10-22T00:00:00.000Z,2018-06-20T00:00:00.000Z,2013-10-23T00:00:00.000Z
5559,0,0,Closed,2019-09-16T00:00:00.000Z,2019-09-17T00:00:00.000Z,2014-03-11T00:00:00.000Z
5560,0,0,Closed,2016-12-09T00:00:00.000Z,2017-01-12T00:00:00.000Z,2015-05-18T00:00:00.000Z
5561,0,0,Closed,2016-04-27T00:00:00.000Z,2018-12-11T00:00:00.000Z,2015-04-17T00:00:00.000Z
5563,1,1,Closed,2016-10-11T00:00:00.000Z,2016-10-11T00:00:00.000Z,2013-06-10T00:00:00.000Z
5564,0,0,Closed,2015-12-02T00:00:00.000Z,2015-12-03T00:00:00.000Z,2013-01-15T00:00:00.000Z
5565,0,0,Closed,2021-05-14T00:00:00.000Z,2021-05-14T00:00:00.000Z,2014-07-07T00:00:00.000Z
5566,0,0,Closed,2017-05-08T00:00:00.000Z,2017-05-24T00:00:00.000Z,2014-03-20T00:00:00.000Z
5567,7,15,Closed,2017-10-18T00:00:00.000Z,2017-10-18T00:00:00.000Z,2012-05-24T00:00:00.000Z
5570,0,0,Closed,2021-06-14T00:00:00.000Z,2022-02-03T00:00:00.000Z,2015-11-23T00:00:00.000Z
5572,0,0,Closed,2015-12-14T00:00:00.000Z,2020-04-23T00:00:00.000Z,2016-01-25T00:00:00.000Z
5574,1,1,Closed,2005-03-18T00:00:00.000Z,2008-08-26T00:00:00.000Z,2005-04-25T00:00:00.000Z
5576,0,0,Closed,2006-08-11T00:00:00.000Z,2010-03-16T00:00:00.000Z,2006-08-29T00:00:00.000Z
5587,1,1,Closed,2024-04-04T00:00:00.000Z,2024-05-06T00:00:00.000Z,2020-06-22T00:00:00.000Z
5590,1,1,Closed,2023-08-02T00:00:00.000Z,2023-08-02T00:00:00.000Z,2021-12-01T00:00:00.000Z
5602,0,0,Closed,2023-11-08T00:00:00.000Z,2023-11-13T00:00:00.000Z,2023-03-21T00:00:00.000Z
5603,0,0,Closed,2014-04-01T00:00:00.000Z,2018-04-09T00:00:00.000Z,2014-04-01T00:00:00.000Z
5604,0,0,Closed,2017-11-14T00:00:00.000Z,2018-09-06T00:00:00.000Z,2016-03-22T00:00:00.000Z
5605,0,0,Closed,2020-12-22T00:00:00.000Z,2021-02-26T00:00:00.000Z,2016-01-13T00:00:00.000Z
5606,0,0,Closed,2017-12-20T00:00:00.000Z,2017-12-20T00:00:00.000Z,2015-01-20T00:00:00.000Z
5607,0,0,Closed,2017-10-30T00:00:00.000Z,2017-10-30T00:00:00.000Z,2014-12-17T00:00:00.000Z
5608,0,0,Closed,2019-03-21T00:00:00.000Z,2019-03-21T00:00:00.000Z,2016-06-13T00:00:00.000Z
5609,0,0,Closed,2019-01-02T00:00:00.000Z,2019-01-02T00:00:00.000Z,2015-03-31T00:00:00.000Z
5610,0,0,Closed,2024-06-06T00:00:00.000Z,2024-06-06T00:00:00.000Z,2015-09-08T00:00:00.000Z
5611,0,0,Closed,2017-01-03T00:00:00.000Z,2017-01-03T00:00:00.000Z,2016-01-06T00:00:00.000Z
5612,0,0,Closed,2021-09-20T00:00:00.000Z,2021-09-21T00:00:00.000Z,2016-05-18T00:00:00.000Z
5615,0,0,Closed,2017-07-11T00:00:00.000Z,2017-07-24T00:00:00.000Z,2017-07-11T00:00:00.000Z
5617,0,0,Closed,2018-12-07T00:00:00.000Z,2018-12-07T00:00:00.000Z,2018-01-30T00:00:00.000Z
5619,0,0,Closed,2016-02-19T00:00:00.000Z,2017-10-27T00:00:00.000Z,2016-03-02T00:00:00.000Z
5620,1,1,Closed,2018-08-08T00:00:00.000Z,2023-08-04T00:00:00.000Z,2018-08-15T00:00:00.000Z
5621,1,1,Closed,2004-04-07T00:00:00.000Z,2007-07-12T00:00:00.000Z,2004-04-15T00:00:00.000Z
5623,0,0,Closed,2009-03-06T00:00:00.000Z,2009-03-06T00:00:00.000Z,2008-02-06T00:00:00.000Z
5624,0,0,Closed,2013-09-25T00:00:00.000Z,2008-07-24T00:00:00.000Z,2007-06-04T00:00:00.000Z
5625,1,1,Closed,2012-09-26T00:00:00.000Z,2012-09-27T00:00:00.000Z,2006-07-10T00:00:00.000Z
5626,0,0,Closed,2021-04-05T00:00:00.000Z,2021-04-06T00:00:00.000Z,2008-06-06T00:00:00.000Z
5627,14,14,Closed,2009-05-26T00:00:00.000Z,2010-10-07T00:00:00.000Z,2006-04-06T00:00:00.000Z
5628,1,1,Closed,2014-08-29T00:00:00.000Z,2014-09-02T00:00:00.000Z,2008-06-05T00:00:00.000Z
5629,0,0,Closed,2013-09-25T00:00:00.000Z,2008-08-14T00:00:00.000Z,2007-06-20T00:00:00.000Z
5644,0,0,Closed,2012-09-25T00:00:00.000Z,2015-11-25T00:00:00.000Z,2012-09-25T00:00:00.000Z
5646,25,29,Closed,2022-11-02T00:00:00.000Z,2022-11-02T00:00:00.000Z,2014-02-27T00:00:00.000Z
5649,52,53,Closed,2018-08-13T00:00:00.000Z,2018-08-13T00:00:00.000Z,2013-06-19T00:00:00.000Z
5650,0,0,Closed,2023-03-17T00:00:00.000Z,2024-03-11T00:00:00.000Z,2013-04-25T00:00:00.000Z
5651,0,0,Closed,2022-02-08T00:00:00.000Z,2022-02-08T00:00:00.000Z,2014-06-17T00:00:00.000Z
5652,0,0,Closed,2006-04-26T00:00:00.000Z,2005-03-30T00:00:00.000Z,2002-07-27T00:00:00.000Z
5655,0,0,Closed,2008-08-21T00:00:00.000Z,2007-09-18T00:00:00.000Z,2002-11-05T00:00:00.000Z
5671,0,0,Closed,2022-01-11T00:00:00.000Z,2022-05-10T00:00:00.000Z,2016-07-18T00:00:00.000Z
5672,0,0,Closed,2022-05-25T00:00:00.000Z,2022-05-26T00:00:00.000Z,2015-07-27T00:00:00.000Z
5674,0,0,Closed,2023-09-19T00:00:00.000Z,2023-09-20T00:00:00.000Z,2016-07-15T00:00:00.000Z
5675,0,0,Closed,2016-09-27T00:00:00.000Z,2020-01-06T00:00:00.000Z,2015-11-13T00:00:00.000Z
5676,0,0,Closed,2022-02-24T00:00:00.000Z,2022-02-24T00:00:00.000Z,2017-08-08T00:00:00.000Z
5680,0,0,Closed,2015-06-22T00:00:00.000Z,2015-06-22T00:00:00.000Z,2013-06-24T00:00:00.000Z
5681,0,0,Closed,2019-01-29T00:00:00.000Z,2019-01-29T00:00:00.000Z,2013-09-04T00:00:00.000Z
5682,0,0,Closed,2019-01-28T00:00:00.000Z,2019-01-30T00:00:00.000Z,2014-09-18T00:00:00.000Z
5698,1,1,Closed,2021-10-04T00:00:00.000Z,2021-10-27T00:00:00.000Z,2012-08-06T00:00:00.000Z
5699,0,0,Closed,2015-08-05T00:00:00.000Z,2015-08-05T00:00:00.000Z,2012-01-25T00:00:00.000Z
5700,0,0,Closed,2012-09-10T00:00:00.000Z,2015-05-05T00:00:00.000Z,2012-09-10T00:00:00.000Z
5701,1,1,Closed,2022-10-14T00:00:00.000Z,2022-10-14T00:00:00.000Z,2012-06-28T00:00:00.000Z
5702,1,1,Closed,2023-12-21T00:00:00.000Z,2023-12-21T00:00:00.000Z,2012-10-12T00:00:00.000Z
5703,0,0,Closed,2015-11-03T00:00:00.000Z,2019-08-19T00:00:00.000Z,2015-10-16T00:00:00.000Z
5704,0,0,Closed,2016-03-09T00:00:00.000Z,2016-03-09T00:00:00.000Z,2013-01-24T00:00:00.000Z
5705,0,0,Closed,2014-10-29T00:00:00.000Z,2014-10-29T00:00:00.000Z,2013-08-02T00:00:00.000Z
5708,0,0,Closed,2022-09-20T00:00:00.000Z,2016-09-16T00:00:00.000Z,2013-05-21T00:00:00.000Z
5709,0,0,Closed,2018-10-18T00:00:00.000Z,2018-10-18T00:00:00.000Z,2013-09-17T00:00:00.000Z
5710,0,0,Closed,2018-09-12T00:00:00.000Z,2018-09-12T00:00:00.000Z,2014-04-14T00:00:00.000Z
5711,2,3,Closed,2021-09-01T00:00:00.000Z,2021-09-01T00:00:00.000Z,2013-08-26T00:00:00.000Z
5712,1,1,Closed,2018-03-05T00:00:00.000Z,2018-03-05T00:00:00.000Z,2015-06-18T00:00:00.000Z
5715,0,0,Closed,2015-05-19T00:00:00.000Z,2015-05-19T00:00:00.000Z,2013-05-23T00:00:00.000Z
5716,1,1,Closed,2016-12-05T00:00:00.000Z,2016-11-30T00:00:00.000Z,2014-04-18T00:00:00.000Z
5717,4,4,Closed,2017-02-13T00:00:00.000Z,2017-02-13T00:00:00.000Z,2012-05-24T00:00:00.000Z
5718,0,0,Closed,2016-01-07T00:00:00.000Z,2015-01-07T00:00:00.000Z,2012-06-25T00:00:00.000Z
5719,1,1,Closed,2014-04-22T00:00:00.000Z,2014-04-22T00:00:00.000Z,2012-11-01T00:00:00.000Z
5720,0,0,Closed,2021-05-13T00:00:00.000Z,2021-05-13T00:00:00.000Z,2016-05-31T00:00:00.000Z
5721,0,0,Closed,2014-04-14T00:00:00.000Z,2016-11-23T00:00:00.000Z,2014-04-14T00:00:00.000Z
5722,0,0,Closed,2019-12-27T00:00:00.000Z,2019-12-27T00:00:00.000Z,2015-04-17T00:00:00.000Z
5723,0,0,Closed,2017-07-12T00:00:00.000Z,2018-03-14T00:00:00.000Z,2013-10-30T00:00:00.000Z
5724,1,1,Closed,2021-12-15T00:00:00.000Z,2022-01-06T00:00:00.000Z,2013-02-06T00:00:00.000Z
5734,1,1,Closed,2010-11-04T00:00:00.000Z,2010-11-05T00:00:00.000Z,2007-04-11T00:00:00.000Z
5736,1,1,Closed,2010-11-08T00:00:00.000Z,2010-12-21T00:00:00.000Z,2008-05-21T00:00:00.000Z
5737,1,1,Closed,2013-05-28T00:00:00.000Z,2013-05-28T00:00:00.000Z,2007-10-23T00:00:00.000Z
5738,0,0,Closed,2019-12-09T00:00:00.000Z,2019-12-09T00:00:00.000Z,2015-01-21T00:00:00.000Z
5744,0,0,Closed,2014-09-26T00:00:00.000Z,2014-09-26T00:00:00.000Z,2013-06-12T00:00:00.000Z
5745,0,0,Closed,2015-06-25T00:00:00.000Z,2017-04-12T00:00:00.000Z,2013-08-02T00:00:00.000Z
5746,1,1,Closed,2017-10-03T00:00:00.000Z,2017-10-02T00:00:00.000Z,2017-10-03T00:00:00.000Z
5747,0,0,Closed,2018-01-31T00:00:00.000Z,2018-01-31T00:00:00.000Z,2013-10-30T00:00:00.000Z
5749,14,26,Closed,2005-02-14T00:00:00.000Z,2005-01-31T00:00:00.000Z,1999-11-29T00:00:00.000Z
5752,0,0,Closed,2005-02-17T00:00:00.000Z,2003-08-13T00:00:00.000Z,2002-02-19T00:00:00.000Z
5760,0,0,Closed,2015-12-08T00:00:00.000Z,2009-02-18T00:00:00.000Z,2002-12-12T00:00:00.000Z
5761,0,0,Closed,2003-04-15T00:00:00.000Z,2003-04-15T00:00:00.000Z,2000-11-28T00:00:00.000Z
5763,0,0,Closed,2007-05-07T00:00:00.000Z,2008-06-27T00:00:00.000Z,2004-12-22T00:00:00.000Z
5764,0,0,Closed,2008-07-18T00:00:00.000Z,2007-01-19T00:00:00.000Z,2004-06-10T00:00:00.000Z
5765,0,0,Closed,2008-06-16T00:00:00.000Z,2008-06-16T00:00:00.000Z,2005-07-11T00:00:00.000Z
5766,0,0,Closed,2006-03-01T00:00:00.000Z,2006-03-01T00:00:00.000Z,2003-08-20T00:00:00.000Z
5767,0,0,Closed,2003-08-27T00:00:00.000Z,2007-05-18T00:00:00.000Z,2003-08-27T00:00:00.000Z
5768,0,0,Closed,2012-12-28T00:00:00.000Z,2011-04-12T00:00:00.000Z,2008-06-12T00:00:00.000Z
5783,0,0,Closed,2016-03-11T00:00:00.000Z,2018-09-10T00:00:00.000Z,2016-04-25T00:00:00.000Z
5785,0,0,Closed,2007-07-11T00:00:00.000Z,2010-05-19T00:00:00.000Z,2007-08-10T00:00:00.000Z
5786,6,6,Closed,2014-11-17T00:00:00.000Z,2018-04-05T00:00:00.000Z,2014-12-23T00:00:00.000Z
5789,1,1,Closed,2009-09-24T00:00:00.000Z,2013-06-18T00:00:00.000Z,2009-09-25T00:00:00.000Z
5799,0,0,Closed,2023-09-01T00:00:00.000Z,2023-09-05T00:00:00.000Z,2017-04-03T00:00:00.000Z
5801,5,5,Closed,2020-07-06T00:00:00.000Z,2020-07-08T00:00:00.000Z,2019-04-26T00:00:00.000Z
5802,0,0,Closed,2022-07-14T00:00:00.000Z,2022-07-18T00:00:00.000Z,2018-04-09T00:00:00.000Z
5807,1,1,Closed,2017-02-27T00:00:00.000Z,2018-11-06T00:00:00.000Z,2017-03-02T00:00:00.000Z
5808,0,0,Closed,2011-07-20T00:00:00.000Z,2014-11-13T00:00:00.000Z,2011-09-01T00:00:00.000Z
5809,4,4,Closed,2011-09-23T00:00:00.000Z,2021-03-23T00:00:00.000Z,2011-09-29T00:00:00.000Z
5811,1,1,Closed,2005-08-30T00:00:00.000Z,2018-04-27T00:00:00.000Z,2005-09-16T00:00:00.000Z
5833,0,0,Closed,2006-04-19T00:00:00.000Z,2011-08-15T00:00:00.000Z,2006-04-22T00:00:00.000Z
5839,0,0,Closed,2019-11-13T00:00:00.000Z,2019-11-13T00:00:00.000Z,2016-09-07T00:00:00.000Z
5841,1,1,Closed,2016-11-29T00:00:00.000Z,2016-11-30T00:00:00.000Z,2016-10-04T00:00:00.000Z
5842,0,0,Closed,2022-01-14T00:00:00.000Z,2022-01-18T00:00:00.000Z,2016-05-18T00:00:00.000Z
5849,7,7,Closed,2001-01-05T00:00:00.000Z,2005-01-12T00:00:00.000Z,2001-01-05T00:00:00.000Z
5851,0,0,Closed,2005-04-07T00:00:00.000Z,2005-03-30T00:00:00.000Z,2002-03-21T00:00:00.000Z
5853,0,0,Closed,2007-01-19T00:00:00.000Z,2007-01-19T00:00:00.000Z,2002-01-29T00:00:00.000Z
5856,0,0,Closed,2008-06-09T00:00:00.000Z,2008-07-15T00:00:00.000Z,2003-04-24T00:00:00.000Z
5857,0,0,Closed,2008-07-14T00:00:00.000Z,2008-07-14T00:00:00.000Z,2002-02-14T00:00:00.000Z
5860,0,0,Closed,2022-02-01T00:00:00.000Z,2022-02-01T00:00:00.000Z,2016-09-20T00:00:00.000Z
5861,0,0,Closed,2019-03-12T00:00:00.000Z,2019-03-12T00:00:00.000Z,2018-04-25T00:00:00.000Z
5862,8,8,Closed,2024-09-09T00:00:00.000Z,2024-09-10T00:00:00.000Z,2018-06-26T00:00:00.000Z
5864,0,0,Closed,2015-01-13T00:00:00.000Z,2015-01-13T00:00:00.000Z,2013-03-18T00:00:00.000Z
5866,1,1,Closed,2016-05-13T00:00:00.000Z,2016-05-13T00:00:00.000Z,2013-05-15T00:00:00.000Z
5868,1,1,Closed,2023-12-06T00:00:00.000Z,2023-12-06T00:00:00.000Z,2015-02-18T00:00:00.000Z
5871,0,0,Closed,2019-10-07T00:00:00.000Z,2019-10-07T00:00:00.000Z,2015-02-26T00:00:00.000Z
5872,0,0,Closed,2015-04-03T00:00:00.000Z,2017-06-19T00:00:00.000Z,2015-04-03T00:00:00.000Z
5873,1,1,Closed,2015-03-19T00:00:00.000Z,2018-07-09T00:00:00.000Z,2015-03-23T00:00:00.000Z
5874,0,0,Closed,2006-05-10T00:00:00.000Z,2006-05-11T00:00:00.000Z,2000-12-13T00:00:00.000Z
5875,0,0,Closed,2001-04-11T00:00:00.000Z,2003-10-10T00:00:00.000Z,2001-04-11T00:00:00.000Z
5876,0,0,Closed,2006-04-03T00:00:00.000Z,2006-04-04T00:00:00.000Z,2003-09-15T00:00:00.000Z
5877,9,9,Closed,2010-02-12T00:00:00.000Z,2010-02-12T00:00:00.000Z,2005-01-26T00:00:00.000Z
5878,0,0,Closed,2012-12-19T00:00:00.000Z,2012-12-19T00:00:00.000Z,2000-10-04T00:00:00.000Z
5879,0,0,Closed,2009-02-23T00:00:00.000Z,2009-02-19T00:00:00.000Z,2002-03-04T00:00:00.000Z
5880,0,0,Closed,2022-06-09T00:00:00.000Z,2022-06-09T00:00:00.000Z,2018-12-18T00:00:00.000Z
5881,1,1,Closed,2010-04-30T00:00:00.000Z,2010-05-03T00:00:00.000Z,2006-01-19T00:00:00.000Z
5882,0,0,Closed,2010-03-11T00:00:00.000Z,2010-03-12T00:00:00.000Z,2008-08-12T00:00:00.000Z
5883,0,0,Closed,2010-12-21T00:00:00.000Z,2010-02-02T00:00:00.000Z,2007-11-28T00:00:00.000Z
5884,0,0,Closed,2011-07-06T00:00:00.000Z,2013-01-07T00:00:00.000Z,2008-01-02T00:00:00.000Z
5897,0,0,Closed,2005-08-25T00:00:00.000Z,2014-03-26T00:00:00.000Z,2005-09-09T00:00:00.000Z
5898,0,0,Closed,2014-12-12T00:00:00.000Z,2020-11-12T00:00:00.000Z,2015-02-17T00:00:00.000Z
5899,1,1,Closed,2016-02-18T00:00:00.000Z,2017-01-10T00:00:00.000Z,2016-02-24T00:00:00.000Z
5902,6,6,Closed,2008-08-14T00:00:00.000Z,2013-09-03T00:00:00.000Z,2008-08-22T00:00:00.000Z
5903,1,3,Closed,2005-03-08T00:00:00.000Z,2005-04-12T00:00:00.000Z,2005-04-12T00:00:00.000Z
5904,0,0,Closed,2014-12-04T00:00:00.000Z,2016-10-25T00:00:00.000Z,2015-01-12T00:00:00.000Z
5918,3,5,Closed,2024-08-08T00:00:00.000Z,2024-08-20T00:00:00.000Z,2019-09-11T00:00:00.000Z
5922,0,0,Closed,2018-01-26T00:00:00.000Z,2019-10-22T00:00:00.000Z,2018-01-26T00:00:00.000Z
5926,10,10,Closed,2005-07-14T00:00:00.000Z,2004-06-07T00:00:00.000Z,2005-07-14T00:00:00.000Z
5928,24,27,Closed,2005-02-17T00:00:00.000Z,2002-12-23T00:00:00.000Z,2005-02-17T00:00:00.000Z
5930,0,0,Closed,2006-01-19T00:00:00.000Z,2005-10-28T00:00:00.000Z,2004-01-12T00:00:00.000Z
5931,0,0,Closed,2002-07-23T00:00:00.000Z,2004-11-01T00:00:00.000Z,2002-07-23T00:00:00.000Z
5932,2,2,Closed,2010-08-17T00:00:00.000Z,2010-08-18T00:00:00.000Z,2007-04-03T00:00:00.000Z
5933,0,0,Closed,2009-03-17T00:00:00.000Z,2009-03-31T00:00:00.000Z,2001-07-23T00:00:00.000Z
5934,0,0,Closed,2006-05-18T00:00:00.000Z,2006-05-18T00:00:00.000Z,2000-11-16T00:00:00.000Z
5935,0,0,Closed,2011-01-26T00:00:00.000Z,2010-08-05T00:00:00.000Z,2005-12-13T00:00:00.000Z
5936,0,0,Closed,2009-05-29T00:00:00.000Z,2009-05-29T00:00:00.000Z,2003-02-03T00:00:00.000Z
5937,1,1,Closed,2007-02-12T00:00:00.000Z,2006-09-07T00:00:00.000Z,2003-01-21T00:00:00.000Z
5943,0,0,Closed,2019-07-25T00:00:00.000Z,2019-07-25T00:00:00.000Z,2015-07-01T00:00:00.000Z
5944,11,13,Closed,2018-05-10T00:00:00.000Z,2018-05-10T00:00:00.000Z,2015-12-23T00:00:00.000Z
5945,1,1,Closed,2017-03-16T00:00:00.000Z,2019-12-17T00:00:00.000Z,2017-03-16T00:00:00.000Z
5947,0,0,Closed,2016-02-02T00:00:00.000Z,2020-07-02T00:00:00.000Z,2016-02-02T00:00:00.000Z
5948,8,8,Closed,2023-07-10T00:00:00.000Z,2023-07-11T00:00:00.000Z,2018-06-21T00:00:00.000Z
5951,0,0,Closed,2016-02-23T00:00:00.000Z,2019-02-14T00:00:00.000Z,2016-02-23T00:00:00.000Z
5954,1,1,Closed,2020-06-30T00:00:00.000Z,2020-06-30T00:00:00.000Z,2017-08-21T00:00:00.000Z
5955,1,1,Closed,2019-03-22T00:00:00.000Z,2019-03-22T00:00:00.000Z,2017-10-03T00:00:00.000Z
5956,0,0,Closed,2022-01-20T00:00:00.000Z,2022-01-20T00:00:00.000Z,2019-04-30T00:00:00.000Z
5957,0,0,Closed,2018-08-14T00:00:00.000Z,2020-01-24T00:00:00.000Z,2014-08-29T00:00:00.000Z
5960,1,1,Closed,2023-05-02T00:00:00.000Z,2023-05-03T00:00:00.000Z,2014-07-16T00:00:00.000Z
