,state,county,stateNumberCode,countyCode,disasterNumber,region,programArea,programFy
12862,Florida,Wakulla,12,129,4673,4,HMGP,2022
12863,Puerto Rico,Guayama,72,57,4339,2,HMGP,2017
12873,Hawaii,Kauai,15,7,4510,9,HMGP,2020
12874,California,Los Angeles,6,37,4558,9,HMGP,2020
12878,Minnesota,Polk,27,119,4722,5,HMGP,2023
12879,Florida,Wakulla,12,129,4680,4,HMGP,2023
12880,West Virginia,Kanawha,54,39,1378,3,HMGP,2001
12881,West Virginia,McDowell,54,47,1378,3,HMGP,2001
12882,New York,Ulster,36,111,1486,2,HMGP,2003
12883,West Virginia,McDowell,54,47,1378,3,HMGP,2001
12884,Tennessee,Statewide,47,0,1456,4,HMGP,2003
12885,Tennessee,Statewide,47,0,1408,4,HMGP,2002
12886,Oklahoma,Jackson,40,65,1401,6,HMGP,2002
12887,Alabama,Jefferson,1,73,1352,4,HMGP,2001
12896,Oregon,Clatsop,41,7,1824,10,HMGP,2009
12897,Louisiana,Tangipahoa,22,105,1603,6,HMGP,2005
12898,Iowa,Delaware,19,55,1737,7,HMGP,2008
12899,Florida,Collier,12,21,1785,4,HMGP,2008
12900,Minnesota,Steele,27,147,1717,5,HMGP,2007
12901,Maine,Waldo,23,27,1198,1,HMGP,1998
12902,Georgia,Elbert,13,105,1033,4,HMGP,1994
12903,California,Orange,6,59,1008,9,HMGP,1994
12904,Maryland,Statewide,24,0,1139,3,HMGP,1996
12905,Wisconsin,Milwaukee,55,79,1238,5,HMGP,1998
12906,California,Statewide,6,0,1044,9,HMGP,1995
12909,California,Statewide,6,0,1046,9,HMGP,1995
12910,Florida,Palm Beach,12,99,1074,4,HMGP,1996
12911,Florida,Palm Beach,12,99,1074,4,HMGP,1996
12912,Kansas,Shawnee,20,177,1000,7,HMGP,1993
12913,North Dakota,Dickey,38,21,1001,8,HMGP,1993
12915,California,Statewide,6,0,1008,9,HMGP,1994
12916,North Carolina,New Hanover,37,129,1134,4,HMGP,1996
12917,California,Statewide,6,0,1044,9,HMGP,1995
12918,South Dakota,Charles Mix,46,23,999,8,HMGP,1993
12919,North Carolina,Dare,37,55,1003,4,HMGP,1993
12920,West Virginia,Tucker,54,93,1096,3,HMGP,1996
12930,New Hampshire,Rockingham,33,15,1782,1,HMGP,2008
12931,Georgia,Forsyth,13,117,1833,4,HMGP,2009
12932,Kentucky,Carlisle,21,39,1818,4,HMGP,2009
12933,Iowa,Franklin,19,69,1880,7,HMGP,2010
12934,Georgia,Fayette,13,113,1833,4,HMGP,2009
12935,Virginia,Mathews,51,115,1874,3,HMGP,2010
12936,Georgia,Turner,13,287,1858,4,HMGP,2009
12937,West Virginia,Tucker,54,93,1096,3,HMGP,1996
12938,California,Statewide,6,0,1203,9,HMGP,1998
12939,New York,Nassau,36,59,974,2,HMGP,1993
12940,California,Statewide,6,0,1008,9,HMGP,1994
12941,New York,Nassau,36,59,1196,2,HMGP,1998
12942,Idaho,Kootenai,16,55,1177,10,HMGP,1997
12943,North Dakota,Pembina,38,67,1174,8,HMGP,1997
12944,Alabama,Statewide,1,0,1214,4,HMGP,1998
12945,New Hampshire,Rockingham,33,15,1199,1,HMGP,1998
12946,California,Statewide,6,0,1044,9,HMGP,1995
12947,Ohio,Lawrence,39,87,1122,5,HMGP,1996
12948,Oregon,Sherman,41,55,1099,10,HMGP,1996
12949,Georgia,Lanier,13,173,1033,4,HMGP,1994
12951,California,Orange,6,59,1008,9,HMGP,1994
12952,North Carolina,Craven,37,49,1134,4,HMGP,1996
12953,Oklahoma,Delaware,40,41,4222,6,HMGP,2015
12954,California,Riverside,6,65,4206,9,HMGP,2015
12955,Oklahoma,Le Flore,40,79,4247,6,HMGP,2016
12956,Alabama,Crenshaw,1,41,4251,4,HMGP,2016
12957,Oklahoma,Delaware,40,41,4247,6,HMGP,2016
12959,North Dakota,Grand Forks,38,35,1829,8,HMGP,2009
12960,Georgia,Lanier,13,173,1858,4,HMGP,2009
12961,Mississippi,Lee,28,81,1604,4,HMGP,2005
12962,North Dakota,Dickey,38,21,1907,8,HMGP,2010
12963,Iowa,Delaware,19,55,1998,7,HMGP,2011
12964,Pennsylvania,Luzerne,42,79,1898,3,HMGP,2010
12965,South Dakota,Roberts,46,109,1984,8,HMGP,2011
12966,Alabama,Colbert,1,33,1971,4,HMGP,2011
12967,Kentucky,Lawrence,21,127,1976,4,HMGP,2011
12968,Florida,Duval,12,31,4734,4,HMGP,2023
12970,South Dakota,Brown,46,13,1173,8,HMGP,1997
12971,South Dakota,Brown,46,13,1173,8,HMGP,1997
12972,New York,Wayne,36,117,1244,2,HMGP,1998
12973,Iowa,Louisa,19,115,996,7,HMGP,1993
12974,North Carolina,Dare,37,55,1134,4,HMGP,1996
12975,Florida,Okaloosa,12,91,1249,4,HMGP,1998
12977,North Carolina,Columbus,37,47,1134,4,HMGP,1996
12978,North Carolina,Bladen,37,17,1134,4,HMGP,1996
12979,North Dakota,Grand Forks,38,35,1174,8,HMGP,1997
12980,Florida,St. Johns,12,109,4283,4,HMGP,2017
12981,West Virginia,Mercer,54,55,4219,3,HMGP,2015
12982,Louisiana,Washington,22,117,4263,6,HMGP,2016
12983,West Virginia,Tyler,54,95,4273,3,HMGP,2016
12984,Virginia,Gloucester,51,73,4291,3,HMGP,2017
12985,Mississippi,Lee,28,81,4350,4,HMGP,2018
12986,California,Orange,6,59,4308,9,HMGP,2017
12987,Texas,Fayette,48,149,4332,6,HMGP,2017
12988,Florida,Duval,12,31,4337,4,HMGP,2017
12989,Florida,Duval,12,31,4337,4,HMGP,2017
13007,North Carolina,Bladen,37,17,1134,4,HMGP,1996
13008,North Carolina,Bladen,37,17,1134,4,HMGP,1996
13009,California,Statewide,6,0,1046,9,HMGP,1995
13010,Georgia,Heard,13,149,1071,4,HMGP,1996
13011,California,Statewide,6,0,1044,9,HMGP,1995
13012,California,Orange,6,59,1008,9,HMGP,1994
13013,Minnesota,Itasca,27,61,1212,5,HMGP,1998
13014,North Carolina,Craven,37,49,1240,4,HMGP,1998
13015,South Dakota,Brown,46,13,1218,8,HMGP,1998
13016,South Dakota,Brown,46,13,1218,8,HMGP,1998
13017,South Dakota,Brown,46,13,1218,8,HMGP,1998
13018,South Dakota,Brown,46,13,1218,8,HMGP,1998
13019,South Dakota,Brown,46,13,1218,8,HMGP,1998
13028,Louisiana,Lafourche,22,57,1786,6,HMGP,2008
13029,Oklahoma,Delaware,40,41,1823,6,HMGP,2009
13030,Louisiana,Union,22,111,1603,6,HMGP,2005
13031,Iowa,Delaware,19,55,1880,7,HMGP,2010
13032,Indiana,Marshall,18,99,1828,5,HMGP,2009
13033,Oklahoma,Noble,40,103,1883,6,HMGP,2010
13034,Alabama,Autauga,1,1,1835,4,HMGP,2009
13035,Louisiana,Lafourche,22,57,1786,6,HMGP,2008
13036,Mississippi,Lee,28,81,1972,4,HMGP,2011
13037,North Carolina,Orange,37,135,4167,4,HMGP,2014
13038,Florida,Okaloosa,12,91,4177,4,HMGP,2014
13039,North Carolina,Orange,37,135,4167,4,HMGP,2014
13040,Idaho,Kootenai,16,55,4246,10,HMGP,2016
13041,Kentucky,Rowan,21,205,4239,4,HMGP,2015
13042,Washington,Walla Walla,53,71,5090,10,HMGP,2015
13043,Florida,St. Johns,12,109,4283,4,HMGP,2017
13044,Louisiana,Tangipahoa,22,105,4263,6,HMGP,2016
13045,Wisconsin,Pepin,55,91,4288,5,HMGP,2017
13046,Florida,St. Johns,12,109,4283,4,HMGP,2017
13047,Florida,Baker,12,3,1141,4,HMGP,1997
13048,Alabama,Statewide,1,0,1214,4,HMGP,1998
13049,Montana,Ravalli,30,81,1183,8,HMGP,1997
13050,North Dakota,Grand Forks,38,35,1174,8,HMGP,1997
13051,Minnesota,Itasca,27,61,1225,5,HMGP,1998
13053,New York,Steuben,36,101,1196,2,HMGP,1998
13054,West Virginia,Tucker,54,93,1229,3,HMGP,1998
13055,Tennessee,Lincoln,47,103,910,4,HMGP,1991
13056,California,Orange,6,59,1008,9,HMGP,1994
13057,Tennessee,Carter,47,19,1171,4,HMGP,1997
13058,Kentucky,Ballard,21,7,1163,4,HMGP,1997
13059,North Carolina,Columbus,37,47,1134,4,HMGP,1996
13068,North Carolina,Craven,37,49,1134,4,HMGP,1996
13069,Pennsylvania,Indiana,42,63,1093,3,HMGP,1996
13070,North Carolina,New Hanover,37,129,1134,4,HMGP,1996
13071,Maine,Waldo,23,27,1198,1,HMGP,1998
13072,New Hampshire,Rockingham,33,15,1199,1,HMGP,1998
13073,North Carolina,New Hanover,37,129,1134,4,HMGP,1996
13074,California,Statewide,6,0,1044,9,HMGP,1995
13075,North Dakota,Ramsey,38,71,1981,8,HMGP,2011
13076,Maine,Waldo,23,27,1891,1,HMGP,2010
13077,South Dakota,Oglala Lakota,46,113,4688,8,HMGP,2023
13078,Iowa,Kossuth,19,109,4732,7,HMGP,2023
13079,Florida,Nassau,12,89,4680,4,HMGP,2023
13082,North Dakota,Burleigh,38,15,4475,8,HMGP,2020
13083,Florida,Wakulla,12,129,4399,4,HMGP,2019
13084,Virgin Islands of the U.S.,St. Croix,78,10,4340,2,HMGP,2017
13085,Montana,Stillwater,30,95,5324,8,HMGP,2020
13086,California,Los Angeles,6,37,4569,9,HMGP,2021
13087,California,Los Angeles,6,37,4569,9,HMGP,2021
13088,Virginia,Statewide,51,0,4602,3,HMGP,2021
13089,Utah,Summit,49,43,5388,8,HMGP,2021
13090,Alabama,Baldwin,1,3,4563,4,HMGP,2020
13091,Florida,Indian River,12,61,4564,4,HMGP,2020
13092,Puerto Rico,Hormigueros,72,67,4339,2,HMGP,2017
13093,Louisiana,Calcasieu,22,19,4559,6,HMGP,2020
13094,Texas,Rusk,48,401,4586,6,HMGP,2021
13095,Wisconsin,Crawford,55,23,4520,5,HMGP,2020
13096,California,Los Angeles,6,37,4558,9,HMGP,2020
13097,Oklahoma,Mayes,40,97,1355,6,HMGP,2001
13098,Wisconsin,Crawford,55,23,1432,5,HMGP,2002
13099,Oklahoma,Creek,40,37,1401,6,HMGP,2002
13100,Louisiana,Caldwell,22,21,1437,6,HMGP,2003
13101,Kansas,Statewide,20,0,1273,7,HMGP,1999
13102,Alabama,Baldwin,1,3,1549,4,HMGP,2004
13103,Virginia,Statewide,51,0,1491,3,HMGP,2003
13104,Kansas,Sedgwick,20,173,1579,7,HMGP,2005
13105,Tennessee,Statewide,47,0,1456,4,HMGP,2003
13106,Alabama,Baldwin,1,3,1549,4,HMGP,2004
13107,Florida,Brevard,12,9,1545,4,HMGP,2004
13108,Illinois,Sangamon,17,167,4461,5,HMGP,2019
13109,Nevada,Douglas,32,5,5382,9,HMGP,2021
13110,North Carolina,Duplin,37,61,4617,4,HMGP,2021
13111,Kentucky,Clinton,21,53,4239,4,HMGP,2015
13112,Illinois,Peoria,17,143,4489,5,HMGP,2020
13113,Mississippi,Humphreys,28,53,4598,4,HMGP,2021
13114,Alabama,Baldwin,1,3,4573,4,HMGP,2021
13115,Texas,Rusk,48,401,4586,6,HMGP,2021
13116,North Carolina,Duplin,37,61,4617,4,HMGP,2021
13117,New Jersey,Essex,34,13,4614,2,HMGP,2021
13118,Delaware,New Castle,10,3,4526,3,HMGP,2020
13128,Texas,Lamb,48,279,4485,6,HMGP,2020
13129,Puerto Rico,Cayey,72,35,4339,2,HMGP,2017
13130,Florida,Alachua,12,1,4486,4,HMGP,2020
13131,Wisconsin,Brown,55,9,4520,5,HMGP,2020
13132,Virginia,Chesapeake (city),51,550,4512,3,HMGP,2020
13133,Texas,Wood,48,499,4485,6,HMGP,2020
13134,Illinois,DuPage,17,43,4489,5,HMGP,2020
13135,Washington,Snohomish,53,61,4481,10,HMGP,2020
13136,Nevada,Douglas,32,5,5448,9,HMGP,2022
13137,Puerto Rico,San Juan,72,127,4339,2,HMGP,2017
13138,New York,Oneida,36,65,4625,2,HMGP,2022
13139,Florida,Brevard,12,9,1545,4,HMGP,2004
13142,North Carolina,Dare,37,55,4285,4,HMGP,2017
13152,Nebraska,Wayne,31,179,1924,7,HMGP,2010
13153,California,Statewide,6,0,1952,9,HMGP,2011
13154,California,Statewide,6,0,1884,9,HMGP,2010
13155,Alabama,Shelby,1,117,1971,4,HMGP,2011
13156,Maryland,Statewide,24,0,4038,3,HMGP,2012
13157,California,Statewide,6,0,1968,9,HMGP,2011
13158,South Dakota,Roberts,46,109,1984,8,HMGP,2011
13159,Alabama,Colbert,1,33,1971,4,HMGP,2011
13160,Puerto Rico,Cidra,72,41,1919,2,HMGP,2010
13161,Pennsylvania,Luzerne,42,79,4025,3,HMGP,2011
13162,Georgia,Muscogee,13,215,4685,4,HMGP,2023
13163,Oklahoma,Blaine,40,11,4721,6,HMGP,2023
13167,North Carolina,Columbus,37,47,1134,4,HMGP,1996
13168,New Hampshire,Rockingham,33,15,1199,1,HMGP,1998
13169,North Carolina,Craven,37,49,1134,4,HMGP,1996
13170,North Carolina,Lee,37,105,1134,4,HMGP,1996
13171,Wisconsin,Milwaukee,55,79,1236,5,HMGP,1998
13172,North Carolina,Lee,37,105,1134,4,HMGP,1996
13173,Maine,Waldo,23,27,1198,1,HMGP,1998
13174,New York,Nassau,36,59,1233,2,HMGP,1998
13175,North Carolina,Lee,37,105,1134,4,HMGP,1996
13176,Maine,Waldo,23,27,1198,1,HMGP,1998
13178,California,Statewide,6,0,1044,9,HMGP,1995
13179,California,Statewide,6,0,1044,9,HMGP,1995
13180,California,Statewide,6,0,1046,9,HMGP,1995
13194,Alabama,Crenshaw,1,41,861,4,HMGP,1990
13195,Kentucky,Harrison,21,97,1055,4,HMGP,1995
13196,Iowa,Page,19,145,1230,7,HMGP,1998
13197,Tennessee,Carter,47,19,1197,4,HMGP,1998
13198,Georgia,Wayne,13,305,1033,4,HMGP,1994
13199,Kentucky,Harrison,21,97,1055,4,HMGP,1995
13200,South Dakota,Brown,46,13,1218,8,HMGP,1998
13201,South Dakota,Brown,46,13,1173,8,HMGP,1997
13202,North Dakota,Grand Forks,38,35,1174,8,HMGP,1997
13203,Nebraska,Dawes,31,45,1027,7,HMGP,1994
13204,Kansas,Chase,20,17,1254,7,HMGP,1999
13205,California,Statewide,6,0,1203,9,HMGP,1998
13206,Georgia,Fayette,13,113,1209,4,HMGP,1998
13207,California,Statewide,6,0,1155,9,HMGP,1997
13208,California,Statewide,6,0,1046,9,HMGP,1995
13209,California,Statewide,6,0,1008,9,HMGP,1994
13211,California,Statewide,6,0,1155,9,HMGP,1997
13212,California,Statewide,6,0,1155,9,HMGP,1997
13213,California,Statewide,6,0,1155,9,HMGP,1997
13214,California,Statewide,6,0,1155,9,HMGP,1997
13215,Minnesota,Itasca,27,61,1212,5,HMGP,1998
13216,Wisconsin,Milwaukee,55,79,1236,5,HMGP,1998
13217,Iowa,Scott,19,163,4386,7,HMGP,2018
13218,Michigan,Berrien,26,21,4381,5,HMGP,2018
13219,Oregon,Deschutes,41,17,5195,10,HMGP,2017
13220,Florida,Palm Beach,12,99,4337,4,HMGP,2017
13221,West Virginia,Nicholas,54,67,4359,3,HMGP,2018
13222,California,Orange,6,59,4407,9,HMGP,2019
13223,Florida,Jackson,12,63,4399,4,HMGP,2019
13224,Wisconsin,Monroe,55,81,4402,5,HMGP,2019
13225,Florida,Palm Beach,12,99,4468,4,HMGP,2020
13226,New York,Nassau,36,59,1943,2,HMGP,2011
13227,Florida,Baker,12,3,4068,4,HMGP,2012
13228,Oregon,Multnomah,41,51,4055,10,HMGP,2012
13229,New Mexico,Lea,35,25,4047,6,HMGP,2012
13230,Kentucky,Lawrence,21,127,1976,4,HMGP,2011
13231,Minnesota,Pennington,27,113,4069,5,HMGP,2012
13232,Wisconsin,Milwaukee,55,79,1933,5,HMGP,2010
13233,Texas,Anderson,48,1,4136,6,HMGP,2013
13234,New York,Schoharie,36,95,4020,2,HMGP,2011
13235,South Dakota,Walworth,46,129,4155,8,HMGP,2014
13236,North Dakota,Pembina,38,67,1879,8,HMGP,2010
13247,California,Statewide,6,0,1008,9,HMGP,1994
13248,North Carolina,Columbus,37,47,1240,4,HMGP,1998
13249,California,Statewide,6,0,1044,9,HMGP,1995
13250,California,Statewide,6,0,1046,9,HMGP,1995
13251,California,Statewide,6,0,1008,9,HMGP,1994
13252,Wisconsin,Chippewa,55,17,9028,5,PDM,2000
13254,California,Statewide,6,0,1203,9,HMGP,1998
13255,New Mexico,Lea,35,25,1202,6,HMGP,1998
13256,California,Statewide,6,0,1044,9,HMGP,1995
13264,Georgia,Fayette,13,113,4259,4,HMGP,2016
13265,Texas,Wharton,48,481,4266,6,HMGP,2016
13266,West Virginia,Roane,54,87,4273,3,HMGP,2016
13267,Mississippi,Grenada,28,43,4314,4,HMGP,2017
13268,Kansas,Clay,20,27,4287,7,HMGP,2017
13269,California,Statewide,6,0,4382,9,HMGP,2018
13270,Florida,Collier,12,21,4337,4,HMGP,2017
13271,Arkansas,Lee,5,77,4318,6,HMGP,2017
13272,Louisiana,Washington,22,117,4277,6,HMGP,2016
13273,Georgia,Heard,13,149,4338,4,HMGP,2017
13274,Florida,Collier,12,21,4337,4,HMGP,2017
13275,Georgia,Fayette,13,113,4400,4,HMGP,2019
13276,California,Statewide,6,0,1008,9,HMGP,1994
13277,Kansas,Chase,20,17,1258,7,HMGP,1999
13278,Florida,Okaloosa,12,91,1195,4,HMGP,1998
13279,Georgia,Fayette,13,113,1209,4,HMGP,1998
13280,Maine,Waldo,23,27,1198,1,HMGP,1998
13281,Pennsylvania,Union,42,119,1093,3,HMGP,1996
13282,Georgia,Fannin,13,111,1209,4,HMGP,1998
13283,South Dakota,Brown,46,13,1218,8,HMGP,1998
13284,South Dakota,Brown,46,13,1173,8,HMGP,1997
13285,Iowa,Kossuth,19,109,996,7,HMGP,1993
13286,Pennsylvania,Indiana,42,63,1150,3,HMGP,1997
13287,Tennessee,Carter,47,19,1197,4,HMGP,1998
13288,California,Statewide,6,0,1155,9,HMGP,1997
13289,California,Orange,6,59,1008,9,HMGP,1994
13291,California,Statewide,6,0,1008,9,HMGP,1994
13293,New Hampshire,Rockingham,33,15,1199,1,HMGP,1998
13303,Iowa,Delaware,19,55,4119,7,HMGP,2013
13304,Ohio,Belmont,39,13,4002,5,HMGP,2011
13305,Nebraska,Saunders,31,155,4013,7,HMGP,2011
13306,Virginia,Hampton (city),51,650,4024,3,HMGP,2011
13315,California,Statewide,6,0,1155,9,HMGP,1997
13316,Minnesota,Itasca,27,61,1212,5,HMGP,1998
13317,Arkansas,Crittenden,5,35,1176,6,HMGP,1997
13318,Wisconsin,Milwaukee,55,79,1180,5,HMGP,1997
13319,Ohio,Mahoning,39,99,1227,5,HMGP,1998
13320,California,Statewide,6,0,1203,9,HMGP,1998
13321,Wisconsin,Adams,55,1,9028,5,PDM,2000
13322,North Dakota,Pembina,38,67,1174,8,HMGP,1997
13323,California,Statewide,6,0,1155,9,HMGP,1997
13324,California,Statewide,6,0,1008,9,HMGP,1994
13332,California,Los Angeles,6,37,4610,9,HMGP,2021
13333,Louisiana,E. Baton Rouge,22,33,1603,6,HMGP,2005
13334,Arkansas,Pope,5,115,1819,6,HMGP,2009
13335,Louisiana,W. Carroll,22,123,1603,6,HMGP,2005
13336,Iowa,Lyon,19,119,1763,7,HMGP,2008
13337,Kentucky,Henry,21,103,1841,4,HMGP,2009
13338,Puerto Rico,Guayama,72,57,1798,2,HMGP,2009
13339,Illinois,DuPage,17,43,1747,5,HMGP,2008
13340,Georgia,Worth,13,321,1833,4,HMGP,2009
13341,Kentucky,Whitley,21,235,1818,4,HMGP,2009
13342,Massachusetts,Barnstable,25,1,1813,1,HMGP,2009
13343,Kansas,Statewide,20,0,1932,7,HMGP,2010
13356,South Carolina,Barnwell,45,11,4286,4,HMGP,2017
13357,California,Los Angeles,6,37,4407,9,HMGP,2019
13358,Georgia,Montgomery,13,209,4400,4,HMGP,2019
13359,Florida,Polk,12,105,4337,4,HMGP,2017
13360,Oregon,Coos,41,11,5195,10,HMGP,2017
13372,Alabama,DeKalb,1,49,1971,4,HMGP,2011
13373,Alabama,DeKalb,1,49,1971,4,HMGP,2011
13374,Virginia,Statewide,51,0,1905,3,HMGP,2010
13375,New York,Yates,36,123,1899,2,HMGP,2010
13376,Alabama,DeKalb,1,49,1971,4,HMGP,2011
13377,Alabama,Geneva,1,61,1971,4,HMGP,2011
13378,Pennsylvania,Lebanon,42,75,4025,3,HMGP,2011
13379,South Dakota,Brown,46,13,1173,8,HMGP,1997
13380,Tennessee,Carter,47,19,1197,4,HMGP,1998
13381,Kansas,Chase,20,17,1258,7,HMGP,1999
13382,California,Statewide,6,0,1203,9,HMGP,1998
13383,California,Statewide,6,0,1203,9,HMGP,1998
13384,Michigan,Charlevoix,26,29,1028,5,HMGP,1994
13385,New Hampshire,Carroll,33,3,1199,1,HMGP,1998
13386,Tennessee,Carter,47,19,1171,4,HMGP,1997
13387,California,Statewide,6,0,1155,9,HMGP,1997
13388,California,Statewide,6,0,4344,9,HMGP,2018
13389,Minnesota,Anoka,27,3,4290,5,HMGP,2017
13390,Alabama,Statewide,1,0,4349,4,HMGP,2018
13391,California,Statewide,6,0,5112,9,HMGP,2015
13392,Florida,Palm Beach,12,99,4283,4,HMGP,2017
13393,Tennessee,McNairy,47,109,5159,4,HMGP,2017
13394,West Virginia,Roane,54,87,4273,3,HMGP,2016
13395,Nevada,Washoe,32,31,5154,9,HMGP,2017
13396,California,Orange,6,59,4344,9,HMGP,2018
13397,West Virginia,Morgan,54,65,4378,3,HMGP,2018
13398,Florida,Palm Beach,12,99,4337,4,HMGP,2017
13399,Nebraska,Cedar,31,27,4321,7,HMGP,2017
13400,Oklahoma,Grant,40,53,4324,6,HMGP,2017
13401,California,Statewide,6,0,4407,9,HMGP,2019
13402,Texas,Wharton,48,481,4332,6,HMGP,2017
13407,Alabama,Colbert,1,33,1971,4,HMGP,2011
13408,North Carolina,Bladen,37,17,4019,4,HMGP,2011
13409,Oklahoma,Delaware,40,41,4064,6,HMGP,2012
13410,Virginia,Mathews,51,115,4045,3,HMGP,2012
13411,Vermont,Lamoille,50,15,4022,1,HMGP,2011
13412,Texas,McLennan,48,309,4136,6,HMGP,2013
13421,California,Statewide,6,0,1046,9,HMGP,1995
13422,California,Statewide,6,0,1044,9,HMGP,1995
13423,New Hampshire,Rockingham,33,15,1199,1,HMGP,1998
13424,California,Statewide,6,0,1203,9,HMGP,1998
13426,California,Statewide,6,0,1155,9,HMGP,1997
13427,California,Statewide,6,0,1046,9,HMGP,1995
13428,Georgia,Fayette,13,113,4400,4,HMGP,2019
13429,Puerto Rico,Fajardo,72,53,4339,2,HMGP,2017
13430,Puerto Rico,Cidra,72,41,4339,2,HMGP,2017
13431,Florida,Jackson,12,63,4399,4,HMGP,2019
13432,California,Orange,6,59,4558,9,HMGP,2020
13433,Washington,Walla Walla,53,71,4539,10,HMGP,2020
13434,South Dakota,Charles Mix,46,23,4469,8,HMGP,2020
13445,South Dakota,Roberts,46,109,4155,8,HMGP,2014
13446,Missouri,Jefferson,29,99,4250,7,HMGP,2016
13447,Mississippi,Lee,28,81,4175,4,HMGP,2014
13448,New Mexico,Socorro,35,53,4199,6,HMGP,2015
13449,Rhode Island,Washington,44,9,4212,1,HMGP,2015
13450,Kentucky,Carlisle,21,39,4217,4,HMGP,2015
13451,Maryland,Statewide,24,0,4279,3,HMGP,2016
13452,North Carolina,Columbus,37,47,4285,4,HMGP,2017
13453,New Mexico,Socorro,35,53,4199,6,HMGP,2015
13454,Louisiana,Tangipahoa,22,105,4277,6,HMGP,2016
13455,Iowa,Dickinson,19,59,4557,7,HMGP,2020
13456,District of Columbia,District of Columbia,11,1,4502,3,HMGP,2020
13457,Tennessee,Montgomery,47,125,4476,4,HMGP,2020
13458,Florida,Okaloosa,12,91,4564,4,HMGP,2020
13459,California,Statewide,6,0,4482,9,HMGP,2020
13461,Alabama,Statewide,1,0,4546,4,HMGP,2020
13463,California,Orange,6,59,1008,9,HMGP,1994
13464,California,Statewide,6,0,1044,9,HMGP,1995
13465,Maryland,Statewide,24,0,9012,3,PDM,2000
13466,Indiana,Brown,18,13,9027,5,PDM,2000
13467,Kansas,Shawnee,20,177,1000,7,HMGP,1993
13468,North Carolina,Craven,37,49,1134,4,HMGP,1996
13469,California,Statewide,6,0,1008,9,HMGP,1994
13470,California,Statewide,6,0,1044,9,HMGP,1995
13471,North Carolina,New Hanover,37,129,9409,4,PDM,2004
13472,Florida,St. Johns,12,109,4673,4,HMGP,2022
13473,Puerto Rico,Cabo Rojo,72,23,4339,2,HMGP,2017
13474,Texas,Hunt,48,231,4705,6,HMGP,2023
13475,Georgia,Lumpkin,13,187,4738,4,HMGP,2023
13476,Puerto Rico,Juana Diaz,72,75,4339,2,HMGP,2017
13477,Oregon,Deschutes,41,17,5457,10,HMGP,2023
13478,California,Riverside,6,65,4699,9,HMGP,2023
13489,Florida,Okaloosa,12,91,1249,4,HMGP,1998
13490,Maine,Waldo,23,27,1198,1,HMGP,1998
13491,Florida,Collier,12,21,955,4,HMGP,1992
13492,Florida,Okaloosa,12,91,1069,4,HMGP,1996
13493,California,Statewide,6,0,1155,9,HMGP,1997
13494,Pennsylvania,Blair,42,13,1093,3,HMGP,1996
13495,North Dakota,Grand Forks,38,35,1174,8,HMGP,1997
13496,Louisiana,Lafourche,22,57,1049,6,HMGP,1995
13497,Florida,Palm Beach,12,99,1259,4,HMGP,1999
13498,California,Statewide,6,0,1008,9,HMGP,1994
13499,West Virginia,Mercer,54,55,1319,3,HMGP,2000
13500,District of Columbia,District of Columbia,11,1,1325,3,HMGP,2000
13512,Florida,Duval,12,31,4337,4,HMGP,2017
13513,North Carolina,New Hanover,37,129,4393,4,HMGP,2018
13514,California,Riverside,6,65,4407,9,HMGP,2019
13515,South Carolina,Oconee,45,73,4394,4,HMGP,2018
13516,Texas,Delta,48,119,4416,6,HMGP,2019
13517,California,Riverside,6,65,4425,9,HMGP,2019
13518,North Carolina,Craven,37,49,4393,4,HMGP,2018
13519,South Carolina,Beaufort,45,13,4479,4,HMGP,2020
13520,Puerto Rico,Humacao,72,69,4473,2,HMGP,2020
13521,Iowa,Emmet,19,63,4483,7,HMGP,2020
13522,Alabama,Statewide,1,0,4082,4,HMGP,2012
13523,Iowa,Delaware,19,55,4119,7,HMGP,2013
13524,Idaho,Kootenai,16,55,5088,10,HMGP,2015
13525,Nebraska,Wayne,31,179,4225,7,HMGP,2015
13526,Tennessee,Carter,47,19,1215,4,HMGP,1998
13527,California,Statewide,6,0,1155,9,HMGP,1997
13528,Maine,Waldo,23,27,1263,1,HMGP,1999
13529,California,Statewide,6,0,1203,9,HMGP,1998
13530,California,Statewide,6,0,1155,9,HMGP,1997
13531,Wisconsin,Milwaukee,55,79,1238,5,HMGP,1998
13532,California,Statewide,6,0,1046,9,HMGP,1995
13533,California,Statewide,6,0,1044,9,HMGP,1995
13534,Alabama,Statewide,1,0,1250,4,HMGP,1998
13535,Vermont,Lamoille,50,15,9005,1,PDM,2000
13536,North Dakota,Pembina,38,67,1174,8,HMGP,1997
13537,Rhode Island,Washington,44,9,9004,1,PDM,2000
13538,New Mexico,Lea,35,25,9034,6,PDM,2002
13545,Florida,Pinellas,12,103,4673,4,HMGP,2022
13546,California,Orange,6,59,4683,9,HMGP,2023
13547,Texas,Leon,48,289,4485,6,HMGP,2020
13548,California,Orange,6,59,4750,9,HMGP,2024
13549,Maine,Waldo,23,27,1371,1,HMGP,2001
13550,New York,Nassau,36,59,1296,2,HMGP,1999
13551,West Virginia,Mercer,54,55,1410,3,HMGP,2002
13552,North Carolina,Edgecombe,37,65,1292,4,HMGP,1999
13553,North Carolina,Craven,37,49,1292,4,HMGP,1999
13554,Puerto Rico,Humacao,72,69,4339,2,HMGP,2017
