,projectAmount,initialObligationAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits
3476,550,278163,495,0.9,1.03,323000
3477,135000,44714,44714,0.33,1.03,139116
3478,55305,56250,41479,0.75,0,0
3481,4466869.61,1858615,3350152.21,0.75,1.48,4959261
3482,326835.5,295773,245126.62,0.75,1.01,399090
3483,404469,291283.01,303351.75,0.75,1.55,764741
3484,20993.84,15745.38,15745.38,0.75,0,0
3485,34757.96,22500,26068.47,0.75,0,0
3486,738336.77,540619.5,553752.58,0.75,0,0
3487,6024612,464389.5,1873138.46,0.57,1.49,8935596
3488,7552,4715.25,5664,0.75,0,0
3489,7680,6144,5760,0.75,0,0
3490,50020,37515,37515,0.75,0,0
3492,0,6584.25,0,0.75,1.7,13337
3493,5643850,385593.75,363993.75,0.75,2.48,9485788
3495,32201,25600,24150.75,0.75,0,0
3496,17242.22,15000,12931.67,0.75,0,0
3497,1649500,51000,51000,0.75,1.15,1969656
3498,475584.43,396800,356688.32,0.75,1,496000
3499,41869.8,30000,31402.35,0.75,0,0
3500,145329,108966.75,108996.75,0.75,0,0
3504,1481541,1274959,1111067,0.75,3.05,5376028
3505,61683.05,67403,46262.29,0.75,4.46,401134
3507,675832,496688,506874,0.75,0,0
3508,171540.28,68252,68252,0.4,5.57,500781
3509,299416,23973,299418,1,0,0
3510,47060,35295,35295,0.75,0,0
3511,87797,77711,65848,0.75,9.38,1140074
3512,52173,40707,39130,0.75,0,0
3513,23513,17639,17635,0.75,0,0
3514,933666,750000,700249,0.75,1.01,1008224
3527,62300,65600,46725,0.75,1.24,108730
3531,5500,5625,4125,0.75,0,0
3533,9240.86,5175,5175,0.56,1.13,8381
3535,98242.78,58571.25,73682.08,0.75,11.65,1457969
3538,32190,24142.5,24142.5,0.75,0,0
3539,40000,30000,30000,0.75,0,0
3540,2292021,1716513,1716513,0.75,4.12,10065119
3542,22920.76,18037.5,17190.57,0.75,0,0
3543,6868,5290.25,5151,0.75,0,0
3544,1659315,1244486.25,1244486.25,0.75,2.3,4416000
3551,31078,23308.5,23308.5,0.75,0,0
3554,568000,426000,426000,0.75,12.52,4481328
3555,2653734.38,119282,1990300.78,0.75,4.2,6821362
3556,3347,2521,2510,0.75,0,0
3557,223177,131813,223177,1,0,0
3558,10582064.85,400500,7076346.51,0.67,2.16,10805760
3559,8374201,2880425,6280148,0.75,1.14,9866366
3560,1287227,93359,965420,0.75,3.76,4865467
3561,164783,133301,123587,0.75,11.72,2257482
3563,42758,33305,32066,0.75,0,0
3565,77070,71958,53644,0.7,1.37,21420
3566,7000000,6650000,6300000,0.9,0,0
3567,67875,61087.5,61087.5,0.9,0,0
3568,231628,220045,208464,0.9,0,0
3569,167995.68,151196.11,167995.68,1,13.04,2896946
3570,309790,261811,261811,0.9,1.03,323000
3571,1435191,466650,731145.05,0.51,1.55,9472
3572,82326,91875,61744,0.75,1.65,204637
3573,28455,23625,23625,0.83,1.08,36226
3574,203655,155263,152741,0.75,0,0
3576,156673,35299,156673,1,0,0
3585,57200,42900,0,0.75,3.59,2316542
3586,1064900,798675,798675,0.75,4.24,4572302
3587,3164250,288750,324375,0.75,1.41,4799986
3588,136550,130395,130395,0.95,1.33,181100
3589,7696,6156,5772,0.75,1.73,13337
3592,7296,5832,5472,0.75,0,0
3595,250000,196620,187500,0.75,0,0
3596,0,164558.25,0,0.75,0,0
3597,482107.75,145819,482107.75,1,0,0
3598,5705934,4084054,4279450,0.75,1.7,9244009
3599,887439,450005,665526,0.75,2.97,2743691
3600,56485,53719,42364,0.75,1.34,88742
3601,2586,46106,2573,1,0,0
3602,239500,182607,179625,0.75,1.65,455304
3603,3763717,3216024,2822788,0.75,6.75,32778153
3604,66743.05,67403,50057.29,0.75,4.46,401134
3605,160731,83300,83300,0.52,0,0
3611,7696,6156,5772,0.75,0,0
3612,8720,6976,6540,0.75,1.6,13337
3613,480168.35,1650476.8,360126.26,0.75,1,2509020
3614,2207377,64188,1655532.75,0.75,122.08,269482585
3617,7680,6144,5760,0.75,0,0
3618,0,6144,0,0.75,0,0
3620,235025,9375,176268.75,0.75,1.15,312621
3621,8720,6976,6540,0.75,0,0
3622,241294.67,4888.5,180971,0.75,0,0
3623,0,5824,0,0.75,0,0
3625,66613,49959.75,49959.75,0.75,12.49,960973
3627,400430.67,65800.77,62667.4,1,7.66,4209072
3628,327968,206250,206250,0.63,1.22,346228
3629,38659,28994,0,0.75,0,0
3633,44632,44721,44631.72,1,0,0
3634,549581.54,67295,342546.73,0.62,0,0
3635,97948,77213,73461,0.75,0,0
3636,90186,68432,67639,0.75,1.09,101297
3637,0,6375000,0,0,0,0
3638,581304,18000,435978,0.75,3.37,1977158
3639,143670.82,175710,143670.82,1,0,0
3640,24860,19350,18645,0.75,1.61,48764
3654,428636,400680,321477,0.75,1.01,541716
3655,0,4219,0,0.75,1.37,21420
3656,178195,250336,178197,1,0,0
3657,269782,180394,202337,0.75,1.35,238615
3658,34141,369642,34141,1,0,0
3660,129333,104218,95802,0.74,0,0
3670,37765,28018,28324,0.75,0,0
3674,276000,207000,207000,0.75,1,276000
3680,167000,125249.96,125249.96,0.75,1,167000
3681,201102,349312.36,201102,1,1.07,214770
3683,692902,522728,522728,0.75,8.31,5814296
3685,768850,576637.5,576637.5,0.75,4.81,3698952
3703,0,12488,0,0.75,2.52,1321309
3704,56262,29475,42193,0.75,0,0
3706,860000,573654,645000,0.75,1.4,1036303
3707,66377,49783,49783,0.75,0,0
3709,21416,15705,16061,0.75,0,0
3710,2932527,2655474.3,2639274.3,0.9,1.76,6184225
3711,111625,100462.5,100462.5,0.9,0,0
3712,8175.3,7357.77,7357.77,0.9,1,1
3714,83951,62595,62963,0.75,0,0
3715,43785.29,15301,43785.29,1,0,0
3716,123257.75,128700,92443.31,0.75,0,0
3717,1093291.49,58223,819968.62,0.75,1.07,1203163
3728,204800,153600,153600,0.75,0,0
3729,215143.16,225900.32,215143.16,1,6.55,1358464
3730,86968.59,91317.02,86968.59,1,1.34,134797
3731,47717,40900,35787,0.75,2.18,121248
3732,4229003,1041498,3171751.95,0.75,2.05,9022452
3733,0,183379,0,0.75,1.22,3670782
3734,396916,344292,297687,0.75,1.69,737444
3735,12196,9703,9147,0.75,1.07,13000
3736,44547,34920,33410,0.75,4.09,182265
3738,79854,132776,75861,0.95,0,0
3739,0,223925,0,0.75,1.51,3584141
3740,37671659.84,29455545,37671659.84,1,1.16,49159498
3741,8528,11250,6396,0.75,57.02,4516488
3743,73178,52991,54884,0.75,1.09,91529
3744,83472.26,55313,62604.19,0.75,0,0
3745,1268090,951068,951068,0.75,1.02,1294505
3746,96078,72059,72059,0.75,1.08,105936
3747,158142.13,124928,118606.59,0.75,0,0
3748,306980,303750,219891.56,0.72,4.37,1310000
3750,10000,7500,7500,0.75,0,0
3764,18730,203348,14047.5,0.75,1.29,350000
3766,355000,280394,266250,0.75,6.25,2225255
3767,33177,26137,24883,0.75,0,0
3768,35186,28272,26389,0.75,0,0
3769,1189350,1547271,892012,0.75,1.53,3608407
3771,30777,26334,22502,0.75,1.56,51736
3772,74959,31319,56219,0.75,1.07,40000
3774,268147,26250,26250,0.75,9.05,2926022
3778,6614,5290.5,4960.5,0.75,0,0
3781,14949.01,10499.25,11211.76,0.75,0,0
3782,240000,192000,180000,0.75,1.71,439002
3784,175430.67,4883.25,131573,0.75,0,0
3786,1608693.26,1026025,1206519.9,0.75,2.99,5005987
3787,630419,35400,472814,0.75,1.25,920994
3788,41086,27671,27671,0.67,0,0
3789,54589,42000,40942,0.75,0,0
3790,6771,4293,4203,0.62,1.37,21420
3791,267831.53,62225,267830.93,1,0,0
3793,91159,58527,58527,0.64,0,0
3794,134170.54,129989,100627.91,0.75,4.13,797987
3795,92960,74899,69720,0.75,1.25,124624
3796,153313,124808,114985,0.75,2.74,474009
3797,6500,4248,4248,0.65,1.37,21420
3798,1136441,1259318,852330,0.75,0,0
3811,15137,8187,11353,0.75,0,0
3812,95204,225000,71403,0.75,1.5,511524
3815,514646.48,405000,385984.86,0.75,0,0
3816,291152,177092,218364,0.75,1.7,541544
3817,109390,93000,82042,0.75,0,0
3819,200111,225225,150083,0.75,0,0
3820,329727,310776,247295,0.75,9.06,2987321
3821,41376,34505,31032,0.75,0,0
3822,29191,22160,21893,0.75,0,0
3823,108409,29796,108409,1,0,0
3824,135732,100875,101799,0.75,0,0
3825,23791,17843,17843,0.75,0,0
3826,0,300000,0,0,0,0
3827,40000,30000,30000,0.75,0,0
3828,14606840,10583264,10955130,0.75,1.12,13613891
3829,184121,135560,138091,0.75,0,0
3831,155263.25,105150,116447.44,0.75,0,0
3832,62879,47159,47159,0.75,0,0
3833,89184,72493,63685,0.71,1.37,21420
3834,67204,70946,50403,0.75,13.97,1321648
3835,93334,70000,70000,0.75,0,0
3836,4685,4240,3513,0.75,1.37,21420
3837,2169803,1464806,1627352,0.75,1.95,4056523
3838,921929,1350675,691447,0.75,1.19,2146965
3839,604051,196295,453037.52,0.75,8.44,2466865
3846,21670,18163,16253,0.75,0,0
3847,275692,936277,261907,0.95,6.04,628602
3848,6250,4889,4688,0.75,0,0
3851,15000,11250,11250,0.75,0,0
3852,125000,39195,93750,0.75,0,0
3853,15205,11979,11404,0.75,0,0
3855,18259,13525,12750,0.7,0,0
3856,838788,657678,629041,0.75,2.51,4319855
3857,69815,52361,0,0.75,1.21,86058
3858,62127,46595.25,0,0.75,1.64,162393
3859,174550,130913,130913,0.75,4.82,841980
3861,34000,25500,25500,0.75,0,0
3862,86560,94593,86559.14,1,0,0
3863,1191500,692475,703988,0.59,1.45,1723230
3864,95225,71868,71418.8,0.75,0,0
3866,88557,63638,66417.83,0.75,0,0
3867,11755,12738,8000,0.68,1.37,21420
3868,635620,22125,476715,0.75,1.11,712685
3869,286105.2,192173,211638,0.74,3.47,979680
3870,31800,25268,23850,0.75,0,0
3871,0,71813,0,0.75,0,0
3874,1010000.01,896646.02,909000.01,0.9,65.46,75160761
3878,3112,18602,3112,1,0,0
3879,1450215,1087661,1087661,0.75,3.2,4682142
3880,1215,27775,1215,1,0,0
3881,265207,464217,198905,0.75,3.59,953089
3882,10000,8034,7500,0.75,0,0
3883,4025103,939892,3018827,0.75,1.68,6769393
3884,6154208,8090783,4615655.74,0.75,0,0
3886,2684023,2757776,2684023,1,1.45,4617476
3887,50000,51255,50000,1,0,0
3889,4313606,3235204.5,3235204.5,0.75,0,0
3890,128400.53,32101,79260,1,0,0
3893,107000,96300,96300,0.9,0,0
3894,9695,7182,8725.5,0.9,0,0
3895,14028,10521,10521,0.75,10.21,827246
3896,459780,459780,459780,1,1.69,778520
3899,4246000,3184500,3184500,0.75,1.79,7611503
3904,2948406,2742391,2740564,0.93,1.01,2975000
3907,1430754,1359216.3,1287678.6,0.9,0,0
3908,10000,9000,9000,0.9,0,0
3910,75955.65,56966.74,56966.74,0.75,0,0
3912,638000,478500,478500,0.75,0,0
3914,38533.33,13486.67,13486.67,1,0,0
3926,3000200,2250150,2250150,0.75,2.54,7621443
3929,69761,112107,66273,0.95,1.08,124318
3930,17000,13526,12750,0.75,0,0
3931,410791,495857,308093,0.75,1.31,868767
3933,361571,722903,361571,1,1.11,781970
3934,162252,94211,121689,0.75,4.42,532791
3938,359600,279661,269700,0.75,10.17,3112417
3939,4072,3239,3054,0.75,0,0
3940,138224,113271,103668,0.75,3.47,495484
3942,10000,7956,7500,0.75,0,0
3944,726132,915307,544600,0.75,1,1184676
3945,100000,45462,42857,0.43,0,0
3950,1616000,767600,727200,0.9,1.02,1640000
3952,259498.24,171268.84,171268.84,0.66,0,0
3955,920691,1307560,690518,0.75,1.07,1840501
3956,284482,577959,213362,0.75,1.3,935279
3957,76654,35754,57491,0.75,2.84,139821
3958,250268,225000,225000,0.9,1.82,455882
3959,608663.77,14061,608663.77,1,0,0
3960,2115044,209892.05,198845.1,0.9,12.19,26172020
3962,157346,125853.52,118009.5,0.75,1.25,214188
3964,237552,178164,178164,0.75,3.8,967638
3969,330000,247449.85,247449.85,0.75,1.13,433674
3974,70000,52500,52500,0.75,1.15,92370
3975,313082,27000,234812,0.75,1.76,565232
3976,100388,65847,65847,0.66,4.12,378620
3978,127246,195722,95427,0.75,3.69,963982
3979,0,689152,0,0.75,4.45,7592731
3980,1375000,1031250,1031250,0.75,1.08,1478985
3981,30000,24102,22500,0.75,0,0
3982,60473354.46,12000000,43314040.13,0.72,4,64061251
3983,1405778,1750107,1335489,0.95,3.62,6519044
3984,46017,14963,14963,0.33,0,0
3985,862335,549478,819218,0.95,2.72,700959
3986,22109,8452,22109,1,0,0
3987,3833444,5450633,2875082.85,0.75,0,0
3988,116550,87413,0,0.75,0,0
3989,103329,64173,77497,0.75,3.17,273073
3991,152121,101532,101532,0.67,3.26,486165
3992,10698,10241,8024,0.75,0,0
3993,8700,6525,6525,0.75,0,0
3994,39056,28923,28923,0.74,0,0
3996,61700,49088,46275,0.75,1.01,62000
3997,26667,21424,20000,0.75,0,0
3998,55000,44187,41250,0.75,0,0
3999,118598,94166,88948,0.75,1.54,182327
4000,82180,39619,58791,0.72,0,0
4001,2259,1567,1500,0.66,0,0
4002,37780,37814,28335,0.75,1.08,51686
4003,1326251,419170,994688,0.75,1.88,2213312
4004,55947,47268,41960,0.75,0,0
4005,34567,31474,25925,0.75,0,0
4006,553137,447903,414756,0.75,1.03,592742
4008,52312,44117,39234,0.75,1.2,66999
4009,1356728.94,1220046.88,1220046.88,0.9,2,2734263
4012,0,650000,0,0.75,1.55,1534500
4014,14910,24812,14911,1,0,0
4015,22730409,191925,17047806.75,0.75,1,24379128
4016,459118,606686,344338,0.75,0,0
4017,101622,99134,76217,0.75,1.68,223241
4018,246576,250000,246576,1,1.18,291836
4019,67619,65475,50714,0.75,1.02,81535
4026,303729,233231,227797,0.75,1.36,423542
4028,7000,5250,5250,0.75,0,0
4029,76655,161972,57491,0.75,13.45,2905403
4030,51566,192793,38675,0.75,1.09,306094
4033,135000,75000,75000,0.56,0,0
4034,22584,24212,16938,0.75,0,0
4035,337905,45000,253429,0.75,1.3,437544
4037,20000,15000,15000,0.75,0,0
4038,442230,746108,331673,0.75,1,994810
4039,180293,146324,135220,0.75,1.48,290372
4041,51337,18750,38503,0.75,1.54,83529
4042,119911,90000,89926,0.75,0,0
4043,2687314,2261250,2015485,0.75,1.22,3723067
4044,33853,48811,25390,0.75,1.37,84756
4045,586062,220993,535467,0.91,0,0
4046,410243,323225,262388,0.75,3.62,1486848
4047,91717,124170,68788,0.75,1.89,173337
4048,13496,21742,13496,1,0,0
4049,11155275,1138086,11155311,1,0,0
4051,5000,4017,3750,0.75,0,0
4052,31520,23868,22500,0.71,0,0
4053,169600,132908,127200,0.75,1.08,183256
4056,57453,55622,43089.62,0.75,1.04,73985
4057,54725,41044,41043.75,0.75,0,0
4058,129900,97425,97425,0.75,1,132027
4059,1079866,814000,814000,0.75,0,0
4069,11128,11139,8346,0.75,2.35,32920
4070,406626,303837,303837,0.75,1.27,536228
4071,1372183.77,1378317,1372183.72,1,1.03,1424827
4076,1200000,957195.16,900000,0.75,0,0
4078,1302932,977199,977199,0.75,0,0
4079,100000,79560,75000,0.75,11.65,1165181
4080,214201,115454,107101,0.5,1.37,292336
4081,156288,123893,117216,0.75,0,0
4082,607600,473772,356966,0.75,1.5,911785
4083,0,23634,0,0.75,8.27,248220
4084,156416,86128,82500,0.53,2.14,235105
4085,93765,84388.5,84388.5,0.9,1,93934
4091,2563731.97,2711551.81,1922798.99,0.75,2.38,6162112
4097,2321,275980,2321,1,1,276000
4099,22500,16875,16875,0.75,0,0
4100,28000,21000,21000,0.75,0,0
4101,796841,1368921,597631,0.75,0,0
4103,176750.54,130133,130133,0.74,7.17,1229899
4104,7512,4337,4162,0.55,1.37,21420
4105,62732,51000,47048,0.75,0,0
4106,135454.4,130707,101590.8,0.75,7.17,1229899
4107,18000,13500,13500,0.75,0,0
4108,433568,382345,325176,0.75,14.2,7256815
4109,228308.08,141232,141232,0.62,2.53,500781
4110,1508567,1126465,1126465,0.75,3.85,1765376
4112,17190,23793,17190,1,0,0
4113,1610622.32,1004096,1079969,0.67,1.04,1332283
4114,4231,3075,3075,0.73,0,0
4115,79958,50250,59969,0.75,0,0
4116,34477,25001,25001,0.73,0,0
4117,240165,180464,180039,0.75,1.84,443528
4118,210594,378577,210594,1,1,369355
4119,576086,432000,432000,0.75,1.31,881395
4120,53894,450000,40420.31,0.75,2.55,1579423
4121,89004,66357,66337,0.75,0,0
4122,319800,340554,239850,0.75,1.57,501132
4123,44773,37990,33580,0.75,13.14,1633332
4125,23413,18000,17560,0.75,0,0
4126,74712,65788,56034,0.75,7.95,835808
4127,125024,192803,93760,0.75,2.31,594012
4129,63481,16826,47611,0.75,22.34,1083744
4130,99958,78390,74969,0.75,0,0
4131,278322,136774,171600,0.62,2.87,501016
4142,669729,532345.47,602756.1,0.9,1.22,831230
4143,28350,25515,25515,0.9,40.59,1269252
4144,95483,76605,71612,0.75,1.07,100957
4145,24924,19635,18693,0.75,1.27,31725
4147,100000,79560,75000,0.75,10,1000000
4148,0,31512,0,0.75,1.05,42059
4149,3465000,2657622,2598750,0.75,1.07,3853499
4150,119663,96576,89747,0.75,0,0
4151,249861,100885,187396,0.75,2.74,334134
4153,9631,12934,7223,0.75,0,0
4154,43651,27926,26070,0.6,0,0
4155,334060,266303,250545,0.75,1.23,451745
4156,74668,111000,56001,0.75,0,0
4158,0,72535,0,0.75,3.14,1887869
4160,343029,315050,257271,0.75,2.32,1002487
4161,20903,15000,15677,0.75,0,0
4162,75000,56250,56250,0.75,0,0
4163,22000,16500,16500,0.75,0,0
4164,13333,10000,10000,0.75,0,0
4165,1739019.13,1800000,1304264.35,0.75,2.74,492099
4167,15700,12478,11775,0.75,0,0
4168,2077624,1904550,1558218,0.75,1.33,3370912
4169,77139,49998.17,69425.1,0.9,1.25,113454
4170,7965.3,7168.77,7168.77,0.9,0,0
4180,41633466.3,9981139.49,9324424.93,0.9,1.09,51253145
4181,390684.97,223816.5,293013.72,0.75,0,0
4183,9479,9707,7109,0.75,6.67,63199
4184,332314,214649,248964,0.75,1.8,552149
4185,80998,202572,80998,1,1.41,2827338
4186,44963,36997,33722,0.75,0,0
4187,4265430,3227475,3159049,0.74,5.29,22546077
4190,1348371,1011278,1011278,0.75,4.46,6012116
4191,45110,47834,33833,0.75,0,0
4192,143456,112211,107592,0.75,0,0
4193,59720,47400,44789,0.75,0,0
4194,1347299,681188,1010474,0.75,1.33,1821002
4196,40000,30000,30000,0.75,0,0
4199,374148,458261,280611,0.75,1.25,720734
4200,95026,91800,71270,0.75,0,0
4201,2387272,47836,1790454,0.75,2.17,5220235
4202,182510,107035,182509.93,1,0,0
4203,1148566,996347,861425,0.75,0,0
4204,181610,158100,136208,0.75,1.02,3820224
4205,274279,502738,205709,0.75,0,0
4206,130181,106482,97636,0.75,0,0
4207,97159,188585,72869,0.75,6.33,1707915
4208,0,97613,0,0.75,2.03,233636
4209,1066707,748729,748729,0.7,5.65,5713372
4210,426348,41250,319761,0.75,3.26,861026
4211,418611,407134,313958,0.75,0,0
4212,199342,150000,149342,0.75,0,0
4213,45692,34263,34263,0.75,0,0
4214,115140,97500,86355,0.75,0,0
4216,31015,23519,23261,0.75,0,0
4217,255285,177117,181310,0.71,0,0
4218,240600,180450,180450,0.75,1.79,438863
4219,224093,168070,168070,0.75,0,0
4220,35575,25500,25500,0.7,0,0
4221,27274,21487,20456,0.75,0,0
4222,0,20842,0,0.75,1,1
4223,79700,64211,59775,0.75,0,0
4224,36665,38455,32999,0.9,1.49,60818
4225,38900,30646,29175,0.75,3.39,131884
4226,43595,34344,32696,0.75,0,0
4227,331667,207100,248750,0.75,1.01,213942
4228,108000,85002,81000,0.75,2.01,231110
4230,162429,127775,121822,0.75,1.05,170758
4231,700000,657900,630000,0.9,1.15,804356
4232,0,464644,0,0.75,1.59,953089
4233,503384,525627,377538,0.75,0,0
4234,42743,37500,32057,0.75,0,0
4235,881884,886199,661413,0.75,0,0
4236,7413942,264960,5560455,0.75,2.95,21875016
4237,26688,23149,19335,0.72,0,0
4238,19001,15081,14251,0.75,0,0
4239,456789,360000,337500,0.74,1.05,540540
4243,180075,144059.62,135056.25,0.75,1.26,236720
4244,641320,502069,358803,0.75,0,0
4245,281660,110190,211245,0.75,0,0
4246,210776,198648,158082,0.75,1.27,334337
4248,216992,216992,0,1,1.61,350000
4252,450508,337881,337881,0.75,1.03,456067
4255,1300000,975000,975000,0.75,5.51,7156610
4258,95315,71486.25,71486.25,0.75,1.4,139324
4260,3331000,3331000,4000,1,3.22,10729687
4262,2975201,823976,2231401,0.75,1.98,6686848
4263,26000,19500,19500,0.75,0,0
4264,33850,30364,25388,0.75,0,0
4265,20518,15925,15389,0.75,1,21250
4266,501156,375868,375867,0.75,1.86,1100933
4267,39446,19418,39446,1,0,0
4268,73702,55277,55277,0.75,1.44,108319
4269,4876,3590,3590,0.74,1.37,21420
4270,12897,9673,9673,0.75,0,0
4271,87699,77314,65774,0.75,0,0
4272,81510,73328,61132.5,0.75,3.56,366104
4273,76859,57644,57644,0.75,0,0
4274,543798,543366,407849,0.75,3.75,2551910
4275,23511,58125,17633,0.75,2.03,162285
4276,155000,77787,116250,0.75,0,0
4278,105350,119602,79013,0.75,5.12,1027188
4279,21250,15938,15938,0.75,0,0
4280,19943,18600,14957,0.75,0,0
4281,8481829,6994465,6361371.75,0.75,1.22,11392435
4282,1383421,1037566,1037566,0.75,1.36,1883879
4283,26000,19500,19500,0.75,0,0
4284,20894,14550,15670,0.75,0,0
4285,51115,40000,38336,0.75,0,0
4286,0,91873,0,0.75,3.67,4094776
4287,6509121,4393582,4303710,0.66,1.01,6582535
4289,56284,50816,42214,0.75,0,0
4290,33220,35802,24915,0.75,1.37,45442
4291,8720,7956,6540,0.75,0,0
4293,95151,81843,71363,0.75,0,0
4294,124106,113922,93079,0.75,1.55,280852
4295,200093,271971,150070,0.75,4.1,1426950
4296,588893,607663,441670,0.75,1.21,785321
4297,88960,78048,66720,0.75,3.13,337429
4298,0,42549,0,0.75,1.14,62224
4299,3787,10673,3408,0.9,7.87,88587
4300,189300,160198,141975,0.75,4.14,828045
4301,386700,290025,290025,0.75,2.06,817289
4311,224161,194270,168121,0.75,1.26,335206
4312,13861,10396,10396,0.75,0,0
4314,21350,16738,16013,0.75,0,0
4315,317772,256221,238329,0.75,1.34,425536
4316,298227,236640,223670,0.75,1.93,579099
4317,132190,82450,99143,0.75,1.02,106844
4319,110450,99405,99405,0.9,1,99424
4321,195000,146250,146250,0.75,1.28,250000
4323,169003,126752.25,92534.34,0.75,2.19,369298
4324,543529.72,407647.29,407647.29,0.75,2.14,1113762
4327,17453877,15507441,15331486,0.88,3.67,59144307
4329,36268,29014.4,27201,0.75,0,0
4330,64116.87,64116.87,64116.87,1,0,0
4333,376000,290056,282000,0.75,9.62,3829886
4335,121499,99852,91054,0.75,1.19,124214
4337,21995,40242,19795,0.9,18.77,796396
4338,98157,93372,86634,0.88,1.78,174517
4339,304352,228513,228264,0.75,1.22,373140
4340,236989,119865,176564,0.75,2.12,432460
4341,24706,22500,18530,0.75,0,0
4342,82418.1,67403,61813.58,0.75,4.05,614949
4343,280355.42,84604,92104,0.33,1.2,156194
4344,547101.4,448507,410326.05,0.75,0,0
4345,173088.94,132884,129816.7,0.75,2.92,500781
4346,173762,222158,130321,0.75,1.1,324871
4347,32245,17010,17010,0.53,0,0
4348,129498,173008,97124,0.75,1.84,355476
4349,27845,22371,20884,0.75,1.15,31885
4350,65869,94132,49402,0.75,1.7,204073
4353,634652,523987,596573,0.94,2.87,2342091
4354,29642,35610,22232,0.75,1.92,86893
4356,2178063,1878031,1633547,0.75,1.09,2752259
4358,349730,481123,190643,0.75,0,0
4359,43640,35168,32730,0.75,0,0
4360,21430,36597,16073,0.75,0,0
4362,75000,56250,56250,0.75,0.83,75000
4363,7197897,4897897,4897897,0.68,1.13,9001596
4367,112410,84307.5,84307.5,0.75,1,1
4369,0,2062500,0,0.75,1.69,4677625
4370,649008.68,486756.5,486756.5,0.75,3.06,1987738
4371,7175,4278,4000,0.56,1.37,21420
4373,136818.7,130412,102614.03,0.75,7.17,1229899
4374,25000,24573,23750,0.95,0,0
4376,40800,19125,30600,0.75,7.65,361590
4377,2168886,151393,1626664,0.75,4.12,9028764
4378,26399,25500,17730,0.67,0,0
4379,23600,17926,17700,0.75,0,0
4380,65054,79727,47520,0.73,1.37,21420
4381,567088,543284,425316,0.75,0,0
4382,25000,19875,18750,0.75,0,0
4384,61893.05,67403,46419.79,0.75,4.46,401134
4385,129997,74387,97498,0.75,0,0
4386,119000,89250,89250,0.75,0,0
4387,1460751.48,1001250,1095563.62,0.75,1.01,8200515
4395,92052,76200,69039,0.75,2.96,337095
4398,187876,164354,140907,0.75,0,0
4399,36937.14,29400,27134.14,0.73,0,0
4400,59941,46693,44956,0.75,8.2,514603
4401,74863,56662,56147,0.75,1.05,80671
4403,146510,112985,109883,0.75,0,0
4404,110000,86557,82500,0.75,1.06,116451
4407,0,14556,0,1,1.99,27300
4408,30157,30725,22618,0.75,0,0
4409,91944,83707,68958,0.75,29.03,2669528
4410,818102,529000,529000,0.65,1.91,19688819
4411,154700,73688,116025,0.75,0,0
4412,33899,22500,25424.25,0.75,0,0
4413,87539.4,87684,65654.55,0.75,7.21,1012105
4414,0,375000,0,0.75,1.83,1039887
4415,69479,58500,52109.13,0.75,0,0
4416,32260.25,30881,24195.19,0.75,1.82,85469
4418,0,125660,0,0.75,0,0
4419,15000,7500,11250,0.75,0,0
4420,0,6000,0,0.75,0,0
4421,195791,150230,146843,0.75,1,200307
4422,60497,10326,60497,1,0,0
4423,7348.94,5089,5089,0.69,1.13,7667
4428,508690,559190.26,508690,1,1.09,552000
4432,3188451,4782676,2391338,0.75,1.93,7008046
4434,0,114369.01,0,0.75,2.68,415892
4435,502215,376661.25,376661.25,0.75,1,502215
4436,231356,170895,170895,0.74,12.68,3182265
4437,4537337.56,3000000,3000000,0.66,7.35,33329393
4438,0,15756,0,0.75,0,0
4439,0,38504,0,0.75,1.04,50127
4440,1463549,1136412,1097662,0.75,1.04,707086
4441,639049,493702,479287,0.75,2.53,2120867
4442,63125,49547,47169,0.75,0,0
4443,118438,97349,88829,0.75,12.05,1505749
4444,2578,1567,1500,0.58,0,0
4446,49900,40090,37425,0.75,1.8,89772
4448,19392,32291,14544,0.75,0,0
4449,135684,96202,101763,0.75,1,120000
4450,58000,46165,43500,0.75,7.41,1518422
4451,65428,72693,49071,0.75,0,0
4452,1332000,1033553,999000,0.75,1.55,3208440
4453,6824,4293,4243,0.62,1.37,21420
4454,0,115538,0,0.75,7.48,1152539
4455,92655.55,76283,69491.66,0.75,4.33,440143
4456,139254,113100,104432,0.75,0,0
4457,13000,8585,8000,0.62,1.37,21420
4458,340855,274685,255641,0.75,2.07,758333
4459,303959,158625,227969.22,0.75,0,0
4461,347700,347700,347700,1,1,347700
4462,617048.6,503598.99,0,0.75,1.71,1204052
4463,5839755,4379816.25,4379816.25,0.75,2.43,14520428
4464,126223,106376,94667,0.75,0,0
4467,42000,33743,0,0.75,0,0
4468,12721,10122,9541,0.75,1.52,19301
4470,1134732,896818,851049,0.75,1.03,1168775
4471,45611,44921,34208,0.75,0,0
4472,222302,180598,210260,0.95,0,0
4473,85920,67225,63720,0.74,0,0
4474,4115370,3103306,3086528,0.75,9.67,40403944
4475,6133476,8988720,4600107,0.75,0,0
4476,307825,253476,230869,0.75,0,0
4478,0,7835,0,0.95,0,0
4486,9566,12051,7175,0.75,0,0
4487,0,45839,0,0.75,1.33,154942
4488,15009,11824,11257,0.75,0,0
4489,127515,28274,95636,0.75,1.82,231476
4490,31900,23758,22335,0.7,0,0
