state,FederalFunding,benefitCostRatio,ProjectTimeline(in months),ZoneRiskLevel
Missouri,2553285.5,2.0,45.0,High
Florida,253429.0,1.3,52.0,High
Florida,122668.0,1.98,42.0,High
Puerto Rico,0.0,0.0,58.0,Moderate
Florida,26250.0,1.5,31.0,High
Connecticut,26922.0,0.0,45.0,Moderate
Florida,48750.0,3.55,43.0,High
New Hampshire,10550.0,2.57,28.0,Moderate
Alabama,10886.0,0.0,23.0,High
Alabama,24500.0,1.91,9.0,High
Guam,43106.0,1.31,110.0,Low
Nebraska,15346.91,0.0,32.0,High
Missouri,30120.0,0.0,19.0,High
Michigan,36990.0,1.06,86.0,Moderate
Iowa,22059.0,0.0,33.0,High
Ohio,961150.35,1.28,53.0,Moderate
Oklahoma,20000.0,0.0,68.0,High
Iowa,29760.0,0.0,8.0,High
Texas,138517.5,6.87,60.0,High
North Carolina,10684.66,1.17,44.0,High
Texas,16509.6,0.0,110.0,High
Alabama,27650.0,1.26,22.0,High
Oklahoma,1500.0,0.0,56.0,High
Texas,57713.0,0.0,102.0,High
Colorado,278457.57,1.18,33.0,Moderate
Florida,482685.0,2.89,23.0,High
Colorado,0.0,0.0,35.0,Moderate
North Dakota,44588.0,1.13,42.0,High
Georgia,11723.0,0.0,11.0,High
California,113584.41,0.0,46.0,High
Colorado,23739.0,0.0,44.0,Moderate
Oklahoma,81450.0,9.22,72.0,High
Ohio,195060.09,1.0,42.0,Moderate
Arkansas,134712.0,0.0,42.0,Moderate
Texas,1537651.82,0.0,69.0,High
Mississippi,34556.0,0.0,19.0,High
Mississippi,394740.0,0.0,59.0,High
Nevada,37346.0,0.0,18.0,Low
Illinois,70270.0,0.0,53.0,Moderate
Pennsylvania,444454.07,1.0,53.0,High
Texas,213017.77,2.09,51.0,High
Texas,199892.72,1.34,74.0,High
Illinois,0.0,1.0,72.0,Moderate
Kentucky,91872.0,0.0,31.0,High
Pennsylvania,445630.0,0.0,59.0,High
Oklahoma,1500.0,0.0,52.0,High
Iowa,15675.0,0.0,24.0,High
Kansas,95459.0,2.12,44.0,High
Texas,89238.0,0.0,88.0,High
Tennessee,1116112.5,1.54,34.0,Moderate
Missouri,30000.0,0.0,23.0,High
Florida,159853.95,2.11,53.0,High
Kentucky,51518.0,9.85,41.0,High
Connecticut,171150.0,8.33,89.0,Moderate
Alabama,1298513.0,13.78,37.0,High
Minnesota,19500.0,1.32,66.0,Moderate
Kansas,84113.0,2.23,39.0,High
Ohio,124021.8,0.0,33.0,Moderate
Louisiana,246867.0,7.31,43.0,High
Florida,32672.0,1.36,31.0,High
Colorado,630234.0,2.87,53.0,Moderate
New Jersey,355590.0,1.08,66.0,High
Kansas,14251.0,0.0,21.0,High
Missouri,362293.0,2.87,40.0,High
Florida,179828.0,3.35,45.0,High
Maryland,267058.0,0.0,53.0,Moderate
Texas,59062.51,0.0,66.0,High
New Jersey,0.0,0.0,27.0,High
Kentucky,47125.0,0.0,19.0,High
Kentucky,47017.0,5.06,32.0,High
Kentucky,74300.0,0.0,20.0,High
California,485391.75,0.0,48.0,High
Nebraska,11250.0,0.0,36.0,High
New Jersey,153000.0,1.12,106.0,High
Oklahoma,1500.0,0.0,52.0,High
North Dakota,137570.0,1.54,26.0,High
Pennsylvania,527770.0,0.0,66.0,High
Washington,40433.0,14.52,56.0,High
Colorado,96220.26,0.0,27.0,Moderate
Alabama,3357.0,1.37,88.0,High
Washington,1449217.5,3.86,163.0,High
Oklahoma,421132.48,3.69,82.0,High
Mississippi,12227.0,0.0,24.0,High
Iowa,34392.0,0.0,52.0,High
Missouri,408683.3,2.02,32.0,High
South Carolina,20745.0,2.76,19.0,Moderate
Vermont,30291.0,1.52,28.0,Moderate
Arkansas,661500.0,3.08,43.0,Moderate
West Virginia,136894.0,1.59,19.0,Moderate
Ohio,188664.0,1.09,35.0,Moderate
Alabama,11328015.48,1.13,180.0,High
West Virginia,68476.0,4.07,38.0,Moderate
Iowa,31710.0,0.0,19.0,High
Puerto Rico,142882.0,0.0,28.0,Moderate
Oregon,14264.64,0.0,49.0,Moderate
Mississippi,0.0,22.94,15.0,High
Texas,274425.0,1.53,148.0,High
Alaska,83890.0,2.99,32.0,Low
Oklahoma,184379.0,1.67,56.0,High
Missouri,2835.0,0.0,0.0,High
Kansas,60781.4,0.0,56.0,High
Mississippi,35084.0,22.32,41.0,High
Tennessee,337366.0,1.01,34.0,Moderate
Alabama,55747.5,7.09,81.0,High
Louisiana,293633.39,1.06,98.0,High
Iowa,29288.0,0.0,65.0,High
Iowa,27711.0,0.0,12.0,High
West Virginia,739987.0,3.04,0.0,Moderate
Massachusetts,0.0,1.33,2.0,Moderate
New York,1142250.0,1.72,49.0,High
Tennessee,16927.0,0.0,43.0,Moderate
Massachusetts,46725.0,1.24,31.0,Moderate
South Carolina,312674.58,0.0,63.0,Moderate
Alabama,77734.38,1.37,130.0,High
Puerto Rico,16444.0,1.29,57.0,Moderate
Colorado,5289.08,0.0,53.0,Moderate
Kentucky,84325.0,0.0,33.0,High
Ohio,277198.0,1.27,55.0,Moderate
Texas,322425.0,2.51,102.0,High
Texas,163215.0,1.08,57.0,High
Nebraska,262702.0,2.2,30.0,High
Florida,19724.0,2.67,26.0,High
Texas,0.0,31.52,0.0,High
Alabama,80438.0,5.23,52.0,High
New York,157246.0,1.48,48.0,High
Georgia,96803.0,17.57,25.0,High
Mississippi,124527.0,1.73,28.0,High
Kentucky,40918.0,4.75,54.0,High
New Jersey,250000.0,2.26,15.0,High
North Dakota,12750.0,3.32,53.0,High
Oklahoma,292500.0,2.82,75.0,High
New Jersey,0.0,0.0,70.0,High
Pennsylvania,124873.0,0.0,0.0,High
North Dakota,69027.0,1.43,34.0,High
New Jersey,75000.0,0.0,79.0,High
New York,159069.0,0.0,80.0,High
Virginia,821365.2,1.98,45.0,Moderate
Massachusetts,313958.0,0.0,87.0,Moderate
Virginia,1180000.0,1.04,122.0,Moderate
Missouri,1405844.0,1.97,40.0,High
New York,4264977.0,1.03,69.0,High
South Dakota,49222.5,2.44,26.0,High
New York,121178.0,1.24,25.0,High
Oklahoma,1500.0,0.0,45.0,High
Missouri,1320149.0,1.35,41.0,High
Tennessee,5506.0,0.0,4.0,Moderate
Mississippi,60484.0,0.0,-7.0,High
South Dakota,8986.0,0.0,26.0,High
Oklahoma,20000.0,0.0,102.0,High
Missouri,19287.93,0.0,13.0,High
Florida,614071.99,0.0,75.0,High
Washington,180533.0,0.0,98.0,High
Oklahoma,33095.0,0.0,32.0,High
Florida,0.0,12.7,15.0,High
Tennessee,83794.0,0.0,4.0,Moderate
Louisiana,800122.0,1.14,72.0,High
Northern Mariana Islands,36400.0,1.97,54.0,Low
Florida,1213144.0,11.42,58.0,High
Alabama,35455.0,1.37,93.0,High
Minnesota,53064.0,1.12,58.0,Moderate
New Jersey,14360.0,0.0,21.0,High
Alabama,222861.0,0.0,69.0,High
Texas,176158.29,0.0,54.0,High
North Carolina,72809.0,1.01,43.0,High
Kansas,11175.0,0.0,39.0,High
Texas,636599.0,0.0,88.0,High
South Dakota,70332.0,1.61,20.0,High
Oklahoma,20000.0,0.0,80.0,High
Colorado,32878.64,0.0,32.0,Moderate
New York,405735.0,1.03,25.0,High
Kansas,384574.0,2.57,24.0,High
Mississippi,1942982.0,35.24,64.0,High
Alabama,14282.0,0.0,15.0,High
Nebraska,9000.0,0.0,13.0,High
Alabama,8109.0,1.37,10.0,High
Virgin Islands of the U.S.,17187.0,3.04,81.0,Low
Texas,975000.0,5.51,36.0,High
Louisiana,48000.0,0.0,42.0,High
South Carolina,3609.0,0.0,34.0,Moderate
Nevada,159533.24,6.32,41.0,Low
West Virginia,692792.48,1.94,41.0,Moderate
Arkansas,259560.0,1.0,34.0,Moderate
Alaska,163420.0,0.0,113.0,Low
Wisconsin,22808.57,0.0,48.0,Moderate
Georgia,30235.0,0.0,26.0,High
Ohio,18750.0,0.0,58.0,Moderate
California,751396.17,3.39,27.0,High
Nebraska,39125.0,4.1,20.0,High
South Dakota,94112.0,1.06,34.0,High
Louisiana,547678.0,1.45,164.0,High
Connecticut,88807.0,1.03,26.0,Moderate
Mississippi,57675.0,0.0,35.0,High
Iowa,85047.0,0.0,37.0,High
California,76804.44,0.0,41.0,High
Connecticut,46674.75,3.6,0.0,Moderate
California,768434.0,1.05,58.0,High
Tennessee,427157.0,1.73,33.0,Moderate
Pennsylvania,602010.0,0.0,-2.0,High
Iowa,4500.0,0.0,29.0,High
South Dakota,13770.75,0.0,35.0,High
Florida,675302.0,14.91,59.0,High
Ohio,924276.0,0.0,48.0,Moderate
Iowa,419118.0,1.11,30.0,High
Texas,19500.0,0.0,99.0,High
Idaho,6107.0,3.04,12.0,Low
Arkansas,444685.0,1.0,47.0,Moderate
Texas,26358.0,0.0,71.0,High
Nebraska,42825.0,0.0,23.0,High
Illinois,157875.0,1.0,58.0,Moderate
Mississippi,17337.0,0.0,8.0,High
Alabama,5772.0,0.0,14.0,High
Florida,36403.0,3.42,53.0,High
Alabama,16587.33,1.37,131.0,High
New Jersey,0.0,2.37,88.0,High
Georgia,19235.3,0.0,67.0,High
Kansas,20356.0,0.0,41.0,High
Iowa,60497.0,0.0,42.0,High
Florida,429975.0,9.28,46.0,High
Alabama,213524.0,0.0,55.0,High
New Jersey,69491.0,0.0,56.0,High
Texas,29933.0,0.0,64.0,High
North Dakota,91461.0,0.0,37.0,High
North Dakota,2822788.0,6.75,45.0,High
New York,180856.0,0.0,3.0,High
Arkansas,273912.0,5.21,58.0,Moderate
Delaware,31977.0,1.73,3.0,Low
Kentucky,285656.0,1.19,60.0,High
Texas,270662.0,4.0,87.0,High
Oklahoma,14971.69,0.0,42.0,High
Utah,29898.62,0.0,52.0,Low
Alaska,262487.0,1.32,33.0,Low
Michigan,4962477.87,1.03,86.0,Moderate
Iowa,163237.28,0.0,14.0,High
Mississippi,13507.0,0.0,20.0,High
North Dakota,3166767.46,1.44,62.0,High
Guam,1669798.0,1.3,110.0,Low
Pennsylvania,139300.0,0.0,51.0,High
North Dakota,239941.0,0.0,29.0,High
Virginia,300825.0,4.82,33.0,Moderate
Washington,86539.49,2.32,47.0,High
Texas,211721.42,1.48,104.0,High
Texas,15917.0,55.5,83.0,High
Oregon,3000.0,0.0,57.0,Moderate
New York,41797.3,0.0,76.0,High
Oregon,731512.5,1.4,87.0,Moderate
Louisiana,130538.0,3.46,90.0,High
Florida,204488.0,2.11,26.0,High
Wisconsin,0.0,0.0,47.0,Moderate
Michigan,71931.0,2.16,31.0,Moderate
South Dakota,4361.0,2.73,9.0,High
Texas,804659.0,1.05,139.0,High
Connecticut,0.0,0.0,40.0,Moderate
Ohio,160102.0,0.0,31.0,Moderate
Tennessee,452619.75,1.53,57.0,Moderate
Oklahoma,450.0,0.0,44.0,High
Georgia,339707.0,1.85,47.0,High
Oregon,363998.0,0.0,45.0,Moderate
South Dakota,100956.0,1.01,23.0,High
Florida,78827.0,9.57,25.0,High
New York,0.0,1.0,68.0,High
Texas,7062404.0,1.17,97.0,High
Tennessee,40070.0,0.0,25.0,Moderate
Texas,58275.0,0.0,82.0,High
Mississippi,263255.0,3.21,59.0,High
Oklahoma,54702.13,9.18,46.0,High
Kentucky,237830.18,10.48,35.0,High
Iowa,515170.0,2.62,19.0,High
Louisiana,263317.32,1.1,103.0,High
Iowa,742015.0,1.41,38.0,High
Wisconsin,350475.0,1.29,55.0,Moderate
Texas,341154.0,0.0,109.0,High
California,59727.0,0.0,12.0,High
Massachusetts,309293.0,2.62,53.0,Moderate
Vermont,107580.0,0.0,90.0,Moderate
Alabama,55908.0,5.52,10.0,High
North Dakota,1637212.5,1.49,35.0,High
Florida,205818.0,7.84,37.0,High
Mississippi,204810.0,0.0,-9.0,High
Alabama,48925.47,4.86,121.0,High
New York,0.0,2.35,69.0,High
Oklahoma,1500.0,0.0,82.0,High
Kentucky,200411.03,2.19,65.0,High
Guam,17883.0,2.41,120.0,Low
Hawaii,150095.0,0.0,86.0,Low
Texas,2458458.0,0.0,153.0,High
South Dakota,22500.0,0.0,43.0,High
Louisiana,1846518.31,1.0,111.0,High
Guam,1017804.0,0.0,130.0,Low
South Dakota,0.0,5.3,23.0,High
Mississippi,239550.0,0.0,59.0,High
Nevada,27000.0,6.15,29.0,Low
Mississippi,5252.0,29.15,18.0,High
Iowa,16378.0,0.0,43.0,High
Oklahoma,4000.0,0.0,94.0,High
South Dakota,75334.0,1.06,13.0,High
Maine,212841.0,1.13,77.0,Low
Connecticut,186237.0,1.16,30.0,Moderate
Washington,50741.0,0.0,63.0,High
New York,38003.0,0.0,43.0,High
Wisconsin,48744.3,1.68,56.0,Moderate
Kentucky,1044344.04,1.0,75.0,High
Oklahoma,1500.0,0.0,81.0,High
New Jersey,558174.56,5.97,48.0,High
Alabama,69491.66,4.33,116.0,High
Florida,810925.0,1.23,105.0,High
Pennsylvania,708583.0,0.0,-26.0,High
Nebraska,18754.0,0.0,68.0,High
Iowa,420965.0,1.02,40.0,High
Oklahoma,20000.0,0.0,96.0,High
South Dakota,29065.0,0.0,5.0,High
Florida,21707.61,1.42,34.0,High
Nebraska,29160.0,0.0,24.0,High
Colorado,23739.0,0.0,44.0,Moderate
New Jersey,41025.0,1.67,39.0,High
Wisconsin,34358.0,1.1,25.0,Moderate
North Carolina,9251.0,0.0,40.0,High
Alabama,19838.0,0.0,12.0,High
Massachusetts,572254.0,3.52,83.0,Moderate
South Dakota,7500.0,0.0,26.0,High
New York,57320.0,4.04,102.0,High
Wisconsin,630399.17,2.11,48.0,Moderate
Arkansas,14644.38,11.25,46.0,Moderate
South Carolina,38587.5,7.33,26.0,Moderate
Maryland,3206314.0,5.51,38.0,Moderate
Alabama,13853.0,2.29,48.0,High
Maryland,75000.0,1.0,62.0,Moderate
Virgin Islands of the U.S.,176393.0,1.65,81.0,Low
Florida,2244812.18,1.04,65.0,High
Louisiana,143465.0,0.0,58.0,High
New York,14225.0,0.0,40.0,High
New Jersey,952106.0,1.02,38.0,High
Ohio,6500.0,0.0,49.0,Moderate
Florida,18563.0,2.34,34.0,High
Nebraska,600.0,0.0,41.0,High
Iowa,11463.75,22.41,19.0,High
Alaska,67500.0,1.28,43.0,Low
Mississippi,39848.0,0.0,24.0,High
South Carolina,133516.63,0.0,51.0,Moderate
Wyoming,8689.8,0.0,40.0,Low
New Hampshire,420700.81,2.05,62.0,Moderate
Louisiana,446160.0,2.37,91.0,High
New York,1949368.0,0.0,39.0,High
New York,392723.0,1.02,102.0,High
Georgia,93787.0,0.0,20.0,High
Virginia,1684151.0,1.3,0.0,Moderate
Arkansas,44460.0,1.0,33.0,Moderate
Michigan,81375.0,0.0,73.0,Moderate
Alabama,57807.0,3.83,70.0,High
Pennsylvania,184900.0,2.0,22.0,High
Kansas,25164.0,0.0,52.0,High
Missouri,16125.0,0.0,25.0,High
Florida,2133705.0,1.89,52.0,High
South Dakota,15000.0,0.0,24.0,High
North Carolina,736768.0,1.24,62.0,High
New York,1562500.0,1.7,104.0,High
Kansas,14790.0,0.0,26.0,High
Puerto Rico,15000.0,0.0,36.0,Moderate
Massachusetts,64261.0,0.0,38.0,Moderate
Ohio,413660.19,1.0,52.0,Moderate
Illinois,43850.0,0.0,53.0,Moderate
Louisiana,22175.0,0.0,96.0,High
Iowa,37500.0,0.0,39.0,High
Oklahoma,28467.0,0.0,92.0,High
Oklahoma,55184.63,0.0,32.0,High
Arkansas,30000.0,0.0,80.0,Moderate
Oklahoma,121875.0,5.05,52.0,High
Florida,413024.0,0.0,100.0,High
Minnesota,23381.0,0.0,36.0,Moderate
Oklahoma,102702.98,0.0,51.0,High
Washington,13248.0,0.0,39.0,High
California,214433.25,1.18,24.0,High
Mississippi,837855.0,3.99,49.0,High
Illinois,47840.0,0.0,65.0,Moderate
Arkansas,428001.0,1.99,49.0,Moderate
Iowa,516150.0,1.41,44.0,High
Texas,32909.81,1.26,37.0,High
Michigan,59376.0,0.0,19.0,Moderate
Texas,5075413.0,2.93,138.0,High
Alabama,102614.03,7.17,117.0,High
West Virginia,674896.0,0.0,33.0,Moderate
Florida,3209765.0,0.0,141.0,High
Kansas,462738.0,4.27,37.0,High
New York,13483.0,0.0,82.0,High
Missouri,1172683.0,2.25,27.0,High
Iowa,3750.0,0.0,36.0,High
Washington,37500.0,0.0,57.0,High
Virginia,480092.0,1.02,54.0,Moderate
Georgia,19023.0,0.0,47.0,High
California,287066.26,0.0,-20.0,High
Oklahoma,43125.0,0.0,56.0,High
Florida,0.0,1.31,32.0,High
Nebraska,1189034.0,1.16,51.0,High
Montana,90532.0,0.0,25.0,Low
Florida,5404.0,7.86,27.0,High
Oklahoma,3408.0,0.0,75.0,High
Alabama,26249.0,0.0,21.0,High
Florida,96519.0,1.75,53.0,High
Washington,30888.59,0.0,41.0,High
New York,108028.0,1.07,58.0,High
Ohio,10396.0,0.0,39.0,Moderate
Alabama,12471.0,1.37,96.0,High
California,0.0,4.01,7.0,High
Kentucky,83259.0,0.0,12.0,High
Virginia,43343.0,0.0,6.0,Moderate
Florida,133501.13,0.0,76.0,High
Texas,300764.0,2.13,69.0,High
Kentucky,58361.0,4.77,28.0,High
Massachusetts,86029.0,0.0,28.0,Moderate
New Mexico,117539.72,2.96,53.0,Low
North Carolina,75033.83,1.14,69.0,High
Texas,33866.0,0.0,102.0,High
Vermont,112746.0,1.58,36.0,Moderate
Washington,487130.0,3.13,43.0,High
Louisiana,219750.0,2.47,22.0,High
Missouri,302410.35,0.0,33.0,High
Ohio,1380166.0,1.92,40.0,Moderate
Michigan,10822.0,0.0,45.0,Moderate
Ohio,395553.33,1.0,56.0,Moderate
New Jersey,0.0,2.54,29.0,High
Nebraska,131069.0,0.0,33.0,High
Iowa,9923.67,0.0,21.0,High
Minnesota,15000.0,1.63,73.0,Moderate
Arkansas,28125.0,0.0,32.0,Moderate
Nebraska,18071.0,0.0,22.0,High
California,984750.0,2.26,0.0,High
California,38520.0,0.0,100.0,High
Pennsylvania,287795.0,0.0,0.0,High
Michigan,69706.0,2.17,60.0,Moderate
New Jersey,64029.0,0.0,39.0,High
North Carolina,587675.19,1.12,58.0,High
Tennessee,86265.0,0.0,45.0,Moderate
Iowa,414473.0,145.4,27.0,High
Mississippi,37613.0,0.0,22.0,High
Connecticut,319940.0,1.03,78.0,Moderate
New Jersey,0.0,1.11,44.0,High
Mississippi,363084.0,0.0,92.0,High
North Carolina,7500.0,0.0,22.0,High
North Carolina,106224.0,0.0,61.0,High
Iowa,439850.25,1.45,34.0,High
Alabama,165980.0,0.0,22.0,High
South Dakota,97375.0,1.6,21.0,High
Illinois,115661.11,2.35,103.0,Moderate
Texas,922156.14,3.93,69.0,High
Oklahoma,1500.0,0.0,52.0,High
Texas,25357.5,0.0,40.0,High
Montana,9305.51,0.0,49.0,Low
Texas,94847.0,0.0,125.0,High
Minnesota,162919.0,1.8,72.0,Moderate
Oklahoma,30000.0,0.0,39.0,High
Vermont,0.0,0.0,13.0,Moderate
Illinois,134477.19,3.01,101.0,Moderate
South Dakota,181106.0,1.18,22.0,High
North Dakota,427373.0,1.11,40.0,High
Michigan,261934.17,4.09,68.0,Moderate
Minnesota,69056.0,0.0,89.0,Moderate
Florida,113992.0,4.46,50.0,High
Michigan,150000.0,1.33,87.0,Moderate
Texas,6569029.0,0.0,144.0,High
Kentucky,45365.98,0.0,83.0,High
Wisconsin,18750.0,0.0,24.0,Moderate
Tennessee,2013619.5,5.53,23.0,Moderate
Massachusetts,517080.0,1.12,68.0,Moderate
Louisiana,268887.0,1.31,62.0,High
Mississippi,0.0,0.0,33.0,High
Alabama,21255.0,1.37,66.0,High
Oklahoma,13195.0,0.0,67.0,High
Louisiana,540275.0,1.53,120.0,High
Oklahoma,20000.0,0.0,91.0,High
New Jersey,0.0,0.0,58.0,High
South Dakota,86898.0,1.03,17.0,High
Alaska,26220.0,0.0,32.0,Low
Massachusetts,380606.0,2.72,57.0,Moderate
Pennsylvania,86025.0,0.0,35.0,High
New Jersey,360132.0,0.0,55.0,High
Iowa,17190.57,0.0,10.0,High
South Dakota,11250.0,0.0,28.0,High
Iowa,200000.0,1.9,42.0,High
Texas,68688.0,0.0,93.0,High
Alabama,36398.0,2.7,18.0,High
Texas,1844387.5,2.74,93.0,High
Mississippi,25851.0,0.0,18.0,High
California,0.0,0.0,10.0,High
California,14544.0,0.0,23.0,High
Washington,3000000.0,13.33,0.0,High
Missouri,855546.0,2.46,39.0,High
Florida,230287.5,1.91,56.0,High
Iowa,11029.0,0.0,49.0,High
Alabama,4000.0,2.18,84.0,High
Virginia,7500.0,0.0,19.0,Moderate
Missouri,154113.72,0.0,23.0,High
Mississippi,45000.0,3.66,22.0,High
Alaska,63141.6,71.36,61.0,Low
Louisiana,467678.0,1.02,105.0,High
North Carolina,221379.0,7.35,81.0,High
Puerto Rico,450917.0,0.0,60.0,Moderate
Florida,394097.43,1.11,49.0,High
Missouri,514754.0,0.0,51.0,High
Florida,25356.0,1.78,58.0,High
Oklahoma,81740.0,0.0,65.0,High
Minnesota,93276.0,1.3,17.0,Moderate
Alabama,4716.0,1.37,99.0,High
Iowa,17250.0,0.0,33.0,High
Virginia,18055.0,0.0,0.0,Moderate
Nebraska,542061.0,3.43,57.0,High
New Jersey,554309.0,0.0,77.0,High
Florida,2188298.17,1.27,64.0,High
Alabama,48910.0,1.37,96.0,High
Ohio,25000.0,0.0,34.0,Moderate
Montana,7559.0,0.0,35.0,Low
Colorado,1174395.51,0.0,55.0,Moderate
Alabama,57525.0,2.9,83.0,High
Ohio,111041.87,1.64,30.0,Moderate
Florida,4100000.0,0.0,47.0,High
Georgia,24988.0,0.0,18.0,High
Wisconsin,30000.0,0.0,39.0,Moderate
Alabama,19839.0,0.0,14.0,High
Florida,2008977.0,2.49,38.0,High
Oklahoma,1148821.38,1.72,54.0,High
Wisconsin,28919.0,0.0,70.0,Moderate
California,44999.76,0.0,41.0,High
Oklahoma,1120756.17,2.68,57.0,High
Vermont,18169.5,1.69,137.0,Moderate
South Dakota,73814.0,1.09,16.0,High
North Dakota,695652.0,0.0,68.0,High
Pennsylvania,53152.0,0.0,36.0,High
Kansas,25674.0,0.0,23.0,High
Minnesota,20025.0,0.0,37.0,Moderate
Vermont,501115.0,0.0,128.0,Moderate
Oklahoma,1500.0,0.0,52.0,High
Florida,187554.0,1.69,31.0,High
Alabama,139079.13,6.75,132.0,High
Texas,64012.5,0.0,107.0,High
Vermont,74544.84,1.05,90.0,Moderate
Illinois,54750.0,0.0,40.0,Moderate
Minnesota,245625.0,0.0,47.0,Moderate
North Carolina,47898.0,0.0,61.0,High
Iowa,981642.0,1.16,37.0,High
Minnesota,72955.0,0.0,39.0,Moderate
Alabama,57436.0,4.51,82.0,High
New Jersey,284160.0,1.34,51.0,High
Mississippi,117272.0,0.0,21.0,High
Oklahoma,408350.0,0.0,120.0,High
Nebraska,67734.0,0.0,33.0,High
Massachusetts,29942.0,1.0,27.0,Moderate
Oklahoma,22500.0,0.0,39.0,High
California,332970.0,1.83,25.0,High
Missouri,1273630.5,2.03,46.0,High
California,58799.0,1.0,74.0,High
Alabama,13877.38,5.02,136.0,High
Colorado,28164.9,0.0,26.0,Moderate
New Jersey,839599.0,0.88,38.0,High
Alabama,41889.0,1.37,96.0,High
South Dakota,30000.0,0.0,38.0,High
California,75000.0,0.0,24.0,High
Kentucky,82035.0,0.0,8.0,High
Iowa,69420.0,1.03,25.0,High
Washington,88086.0,8.22,42.0,High
Louisiana,93370.0,1.21,134.0,High
Kansas,25756.0,0.0,54.0,High
Massachusetts,136691.0,1.01,37.0,Moderate
Tennessee,46326.0,0.0,14.0,Moderate
Florida,12940.0,1.25,75.0,High
California,4000000.0,6.75,40.0,High
Kentucky,29415.0,0.0,38.0,High
Florida,1235011.0,1.6,90.0,High
Virginia,42647.0,0.0,40.0,Moderate
Georgia,22262.0,0.0,13.0,High
California,849546.12,1.25,50.0,High
New Jersey,100000.0,1.32,66.0,High
Louisiana,101885.0,1.95,58.0,High
Tennessee,422769.37,4.35,74.0,Moderate
West Virginia,79157.0,14.46,0.0,Moderate
Nebraska,3508.43,0.0,20.0,High
Florida,11250.0,11.52,42.0,High
California,90345.26,0.0,39.0,High
Alabama,21428.0,0.0,14.0,High
New Jersey,112343.35,0.0,129.0,High
South Carolina,16538.0,1.61,28.0,Moderate
Washington,19575.97,8.82,36.0,High
District of Columbia,877302.0,1.22,63.0,Low
West Virginia,53708.49,2.96,39.0,Moderate
Kentucky,111904.9,0.0,20.0,High
Massachusetts,267830.93,0.0,151.0,Moderate
North Dakota,7500.0,0.0,49.0,High
New Mexico,18734.0,0.0,60.0,Low
North Carolina,2513020.0,0.0,54.0,High
Florida,22645.0,1.81,27.0,High
Alabama,126600.0,1.27,58.0,High
Montana,288868.14,1.34,64.0,Low
Oklahoma,10909.0,0.0,3.0,High
Louisiana,60024.0,0.0,88.0,High
Pennsylvania,608534.0,1.2,-0.0,High
North Carolina,109924.0,0.0,57.0,High
North Dakota,32709.0,0.0,35.0,High
South Carolina,0.0,1.47,23.0,Moderate
Louisiana,33711.0,1.65,76.0,High
Oregon,326193.0,1.59,83.0,Moderate
South Dakota,52181.91,1.04,27.0,High
Texas,27488.0,0.0,162.0,High
Florida,209516.0,1.73,61.0,High
Maryland,822256.76,1.0,73.0,Moderate
Michigan,568818.0,1.52,78.0,Moderate
South Dakota,432915.0,2.84,44.0,High
New Jersey,197400.0,1.21,33.0,High
Alabama,4540.0,1.37,97.0,High
Texas,714119.0,0.0,55.0,High
Oregon,940849.89,2.51,80.0,Moderate
Connecticut,59213.0,0.0,25.0,Moderate
Indiana,478363.0,1.09,71.0,Low
Texas,77391.0,0.0,159.0,High
Missouri,0.0,1.8,48.0,High
Oklahoma,31849.0,0.0,66.0,High
New Jersey,1373964.0,2.27,75.0,High
Texas,3485419.0,3.4,48.0,High
Kentucky,138482.84,1.24,63.0,High
New Hampshire,150000.0,1.0,21.0,Moderate
Kansas,30883.0,0.0,44.0,High
Louisiana,533500.61,1.05,98.0,High
Missouri,1584787.0,3.61,35.0,High
North Dakota,56253.0,0.0,21.0,High
Florida,258000.0,0.0,32.0,High
Alabama,15957.0,0.0,57.0,High
Northern Mariana Islands,29061.25,14.47,55.0,Low
North Dakota,21543.0,0.0,22.0,High
Iowa,57354.0,1.17,16.0,High
South Carolina,200302.0,1.67,39.0,Moderate
Florida,455465.0,2.29,39.0,High
New York,143670.82,0.0,60.0,High
Oklahoma,30000.0,0.0,34.0,High
Alabama,13085.0,0.0,20.0,High
Oklahoma,135000.0,0.0,33.0,High
North Dakota,235040.0,2.15,34.0,High
Kentucky,58361.0,5.31,24.0,High
Minnesota,80000.0,0.0,77.0,Moderate
Oregon,38586.65,0.0,37.0,Moderate
Kentucky,2609007.37,2.61,74.0,High
Ohio,2030880.51,1.48,41.0,Moderate
Oklahoma,56658.0,0.0,107.0,High
Vermont,0.0,0.0,123.0,Moderate
Florida,18750.0,1.64,37.0,High
Iowa,44714.0,1.03,25.0,High
Louisiana,639166.0,2.51,103.0,High
Nevada,33288.0,0.0,42.0,Low
North Carolina,147385.0,0.0,58.0,High
West Virginia,152948.0,1.07,0.0,Moderate
Oklahoma,38000.0,0.0,42.0,High
Florida,31129.0,4.01,45.0,High
Ohio,25250.0,13.69,34.0,Moderate
Oklahoma,268709.0,13.87,68.0,High
Oklahoma,1500.0,0.0,75.0,High
Massachusetts,42166.5,3.82,46.0,Moderate
Florida,375625.6,1.09,47.0,High
Texas,64641.75,0.0,59.0,High
Arkansas,802373.0,3.72,35.0,Moderate
Kentucky,58680.0,0.0,35.0,High
Iowa,170847.0,0.0,36.0,High
Texas,0.0,0.0,0.0,High
Nebraska,14612.25,0.0,6.0,High
California,0.0,1.27,4.0,High
